subdistrict_name,street_name,property_name,name,url,listing_id,description,date_posted,price,street_address,adress_locality,postal_code,rooms,bathrooms,listing_history,pid,type,style,building_style,building_dimensions,age,beds,bathrooms_f_h,main_living_area,total_living_area,listing_parcel_size,prov_parcel_size,assessed_at,rental_income,roof,exterior,foundation,basement,flooring,heating_cooling,fireplace,pool,fuel_supply,drinking_water,sewer,has_garage,parking,waterfront,water_access_view,property_features,land_features,utilities,appliances_incl,inclusions,exclusions,rental_equipment,listed_by,has_pcds,betterment_charges,bank_owned,pid_s
Subdistrict A (Bedford),"Innsbrook Way, Bedford","128 Innsbrook Way, Bedford, NS (NOVA SCOTIA)",128 Innsbrook Way,https://www.viewpoint.ca/cutsheet/202525060/1/128-Innsbrook-Way-Bedford,202525060,"Welcome to 128 Innsbrook Way, West Bedford. This exquisite 4-bedroom, 3.5-bath home blends modern design with timeless comfort in one of the area's most sought-after communities. Bright and inviting, the open-concept layout is perfect for both entertaining and everyday family living.  At the heart of the home is a spacious chef's kitchen featuring high-end finishes, ample storage, and a large island designed for gathering. Unwind by the cozy gas fireplace in the living room, or step outside to the back deck overlooking peaceful greenspace and walking trails. You can also retreat to the private back patio and soak in the hot tub for the ultimate relaxation.  Upstairs, discover generously sized bedrooms with large closets, including a luxurious primary suite with a walk-in closet featuring custom shelving and a spa-like ensuite bathroom. The fully finished lower level offers a versatile family room equipped with a built-in audio and speaker system, ideal for movie nights or entertaining guests.  Tucked away on a quaint cul-de-sac, this home offers the best of both worlds: a quiet, family-friendly setting while being only minutes from schools, parks, and all of West Bedfords amenities. Meticulously cared for and move-in ready, 128 Innsbrook Way is a home you won't want to miss.",2025-10-03,1239000,128 Innsbrook Way,Bedford,B4B 0X8,4,4,[],41440918,Single Family,Detached,2.5 Level,47 x 35x23.1x2x23.9x32,7,4,3 / 1,"2,384 sqft","3,912 sqft","8,213 sqft","8,213 sqft","$1,142,400 (2026)",N/A,Asphalt Shingle,"Stone, Vinyl",Poured Concrete,Fully Developed,"Engineered Hardwood, Concrete, Marble, Tile, Vinyl","Heat Pump, Ducted Cooling",Yes,N/A,"Natural Gas, Electric",Municipal,Municipal,"Yes, Attached, Double, Heated, Wired (attached, wired, heated, two car garage)","Block, Double (double parking)",No,N/A,"Air Exchanger, Alarm System, Hot Tub, Fireplace(s), HRV (Heat Recovery Ventilation)","Cleared, Landscaped","Electrical, Cable, Telephone, Natural Gas, High Speed Internet","Dryer - Electric, Garburator, Refrigerator, Stove, Washer","Fridge, Stove, Dishwasher, Washer, Dryer, Hot Tub",N/A,None,Exit Realty Town & Country,Yes,N/A,No,
Subdistrict A (Bedford),"Jon Jacques Court, Bedford","29 Jon Jacques Court, Bedford, NS (NOVA SCOTIA)",29 Jon Jacques Court,https://www.viewpoint.ca/cutsheet/202603979/1/29-Jon-Jacques-Court-Bedford,202603979,"Good Location in Bedford South, quiet cul-de-sac near Bedford schools at Paper-mill Lake Subdivision, few minutes drive from Larry Uteck, with convenient shopping like Sobeys and Atlantic Superstore etc. Large open floorplan, propane fireplace, hardwood floors, lots of cabinets in the kitchen which flows to deck with treed backyard and nature. Ductless heat pumps in living room & main bedroom for extra level of comfort year round. Rec room for the kids, good sized garage for storage or parking. Book your viewing today.",2026-03-06,549900,29 Jon Jacques Court,Bedford,B4A 4H1,3,2,[],40732059,Single Family,Semi-Detached,2 Level,21 x 34 + jog,26,3,1 / 1,"1,482 sqft","1,924 sqft","3,000 sqft","3,000 sqft","$586,200 (2026)",N/A,Asphalt Shingle,"Brick, Vinyl",Poured Concrete,Fully Developed,"Ceramic, Carpet, Laminate, Hardwood","Forced Air, Heat Pump, Fireplace",Yes,N/A,"Electric, Oil, Propane",Municipal,Municipal,"Yes, Single, Built-in (single, built-in)",Paved,No,N/A,"Air Exchanger, Propane Fireplace",Landscaped,"Electrical, Cable, Telephone, High Speed Internet","Dishwasher, Dryer, Refrigerator, Stove","Fridge, stove, dishwasher, washer, dryer,garage door opener... all in ""As Is"" condition",N/A,None,Royal Lepage Atlantic,No,N/A,No,
Subdistrict A (Bedford),"Oceanview Drive, Bedford","91 Oceanview Drive, Bedford, NS (NOVA SCOTIA)",91 Oceanview Drive,https://www.viewpoint.ca/cutsheet/202522689/1/91-Oceanview-Drive-Bedford,202522689,"Welcome to 91 Oceanview Drive in sought-after Bedford South! This beautiful 5-bedroom, 3.5-bath home offers the perfect balance of comfort, convenience, and community. You have quick access to grocery stores, restaurants, fitness centers, and top-rated schools, while also enjoying the peace and privacy of backing onto a greenbelt and being steps away from Oceanview and Nine Mile Drive Park. The main level features a bright large living space, dining area, lovely kitchen and a half washroom, direct access to the back deck and yard. Upstairs, the spacious primary bedroom includes a walk-in closet and a large ensuite bath, while two additional bedrooms and a full bath complete the upper level. The finished basement provides two additional rooms, full washroom and a laundry area. Excellent location that offers both nature and city convenience!",2025-09-08,589900,91 Oceanview Drive,Bedford,B4A 4H5,5,4,[],40671281,Single Family,Detached,2 Level,38 x 24,30,5,3 / 1,"1,588 sqft","2,372 sqft","3,454 sqft","3,454 sqft","$571,000 (2026)",N/A,Asphalt Shingle,"Brick, Vinyl",Poured Concrete,Fully Developed,"Engineered Hardwood, Tile, Laminate",Baseboard,N/A,N/A,"Electric, Oil",Municipal,Municipal,"No, None",Paved,No,N/A,Air Exchanger,Cleared,"Electrical, Cable, Telephone, High Speed Internet","Dishwasher, Dryer, Freezer - Chest, Refrigerator, Stove, Washer",N/A,N/A,None,Re/max Nova (windsor),Yes,N/A,No,
Subdistrict F (Bedford),"Millview Avenue, Bedford","11 Millview Avenue, Bedford, NS (NOVA SCOTIA)",11 Millview Avenue,https://www.viewpoint.ca/cutsheet/202528816/1/11-Millview-Avenue-Bedford,202528816,"Welcome to 11 Millview Avenue in sought-after Bedford! This meticulously maintained two-storey home is proudly hitting the market for the very first time. Situated on a private, beautifully treed 13,200 sq. ft. corner lot, this property offers privacy, plenty of parking, and the exciting possibility of subdividing the lot (buyer to verify). With five spacious bedrooms and 4.5 bathrooms, this home provides exceptional space and flexibility for growing families or multi-generational living. The ground level features a self-contained one-bedroom suite with its own entrance—ideal for in-laws & guests. Inside, you’ll find a warm and welcoming open-concept main floor with cathedral ceilings in the living room, a cozy wood-burning fireplace, and beautiful hardwood floors. The kitchen is a chef’s delight, featuring rich cherry wood cabinetry, a walk-in pantry, a large island and plenty of counterspace. French doors lead to a designated dining room, perfect for entertaining. The main floor also hosts a convenient laundry room, a two-piece bathroom, and a spacious primary suite complete with his-and-hers closets and a luxurious 5-piece ensuite. Upstairs, you’ll find three generously sized bedrooms connected by two back-to-back 4-piece bathrooms, all overlooking the bright main living space below. Additional features include a built-in double garage and two ductless heat pumps for efficient year-round comfort. Don’t miss this rare opportunity to own a unique and spacious home in a prime Bedford location!",2025-12-01,899900,11 Millview Avenue,Bedford,B4A 1G8,5,5,[],00430413,Single Family,Detached,2 Level,41.3 x40.3 +/- J Irreg,24,5,4 / 1,"2,757 sqft","3,636 sqft","13,200 sqft","13,200 sqft","$812,400 (2026)",Potential,Asphalt Shingle,Vinyl,Poured Concrete,"Full, Walkout","Tile, Hardwood",Heat Pump,Yes,N/A,Electric,Municipal,Municipal,"Yes, Double, Built-in (2 car built in garage)","Paved, Double (paved driveway with space for 4 parked cars)",No,N/A,"Ensuite Bath, Fireplace(s)","Partially Fenced, Wooded/Treed, Partial Landscaped","Electrical, Cable, Telephone, High Speed Internet","Dryer, Refrigerator, Stove, Washer",N/A,N/A,"Heat Pumps, Water Heater",Century 21 Trident Realty Ltd.,Yes,N/A,No,
Subdistrict F (Bedford),"Millview Avenue, Bedford","26 Millview Avenue, Bedford, NS (NOVA SCOTIA)",26 Millview Avenue,https://www.viewpoint.ca/cutsheet/202600829/1/26-Millview-Avenue-Bedford,202600829,"Welcome home to 26 Millview Avenue, located in the heart of Bedford!  This well maintained four bedroom, three bath two story home with a double garage will impress you from the moment you arrive.  With a U shaped driveway on a large private lot, the property is close to shopping, main highways, and walking distance to nature trails and a beach!  The stunning kitchen has granite countertops and access to a deck and the large back yard.  The main floor also features a large family room with fireplace, dining area, laundry room and a two piece bathroom.  The second level contains four bedrooms, including the Primary bedroom that contains a five piece ensuite.  This level also has a large second bathroom.  The basement is totally finished and offers very flexible space with its openness.  This home has over 3000 square feet of living space.  Upgrades in recent years include new roofing shingles, hot water tank and a window and some doors in 2021, and since 2024, the basement was insulated, the kitchen significantly upgraded, new appliances, a new heat pump installed, some new windows, total bathroom renovations, new gleaming flooring, refreshed paint throughout, new stairs and additional basement renovations.  To appreciate the upgrades, please book a showing to view this incredible gem of a property.",2026-01-15,795000,26 Millview Avenue,Bedford,B4A 1G7,4,3,[],00430462,Single Family,Detached,2 Level,50.6 x 31.3,40,4,2 / 1,"2,299 sqft","3,277 sqft","13,901 sqft","13,901 sqft","$704,000 (2026)",N/A,Asphalt Shingle,"Brick, Vinyl",Poured Concrete,"Fully Developed, Walkout","Ceramic, Laminate, Hardwood","Baseboard, Heat Pump",N/A,N/A,Electric,Municipal,Municipal,"Yes, Attached, Double (attached double)","Paved, Circular",No,N/A,N/A,Landscaped,"Electrical, Cable, Telephone, High Speed Internet","Dishwasher, Dryer - Electric, Range - Electric, Refrigerator, Washer",N/A,N/A,None,Verve Realty Group,Yes,N/A,No,
Subdistrict F (Bedford),"Ravines Drive, Bedford","167 Ravines Drive, Bedford, NS (NOVA SCOTIA)",167 Ravines Drive,https://www.viewpoint.ca/cutsheet/202528653/1/167-Ravines-Drive-Bedford,202528653,"Welcome to 167 Ravines Drive—an elegant, expansive 5-bedroom, 4-bathroom home in one of Bedford’s most sought-after neighbourhoods. Built in 2008 and offering nearly 3,500 sq. ft. of finished living space, this three-level home blends timeless finishes with thoughtful upgrades, including fresh paint throughout, a ducted heat pump, and a 2020 hot water tank. Step inside to a warm and inviting main floor featuring hardwood flooring, a spacious open-concept kitchen and living room, and a cozy propane fireplace. A formal dining room and a bright sitting room create the perfect layout for both family living and entertaining. Hardwood stairs lead to the upper level, where you’ll find four generous bedrooms and two full bathrooms, including a well-appointed primary suite with a large walk-in closet and an ensuite bathroom featuring a soaker tub. To top it off, you have an upper level laundry room on this second level so no need to walk downstairs to do your laundry! With plenty of space for a growing family, this level is designed for comfort and functionality. The walkout basement adds even more living space, featuring a media room, a spacious fifth bedroom, and a full bathroom—ideal for guests, teens, or extended family. Outside, the property backs onto a peaceful green belt, offering added privacy and a natural backdrop. The attractive brick exterior and the attached double garage complete the home’s strong curb appeal. Located on a quiet, established street in The Ravines—a community known for its beautiful homes, excellent schools, and family-friendly atmosphere—this is a rare opportunity to own a well-maintained, move-in-ready home in a premium Bedford location.",2025-11-27,929900,167 Ravines Drive,Bedford,B4A 0B8,5,4,[],41251299,Single Family,Detached,2 Level,37x37.5+JOG,17,5,3 / 1,"2,456 sqft","3,425 sqft","6,911 sqft","6,911 sqft","$817,600 (2026)",N/A,Asphalt Shingle,"Brick, Vinyl",Poured Concrete,"Fully Developed, Walkout","Tile, Carpet, Laminate, Hardwood","Heat Pump, Fireplace",Yes,N/A,"Electric, Propane",Municipal,Municipal,"Yes, Attached, Double, Heated (attached heated)","Exposed Aggregate, Double",No,N/A,"Ensuite Bath, Propane Fireplace, HRV (Heat Recovery Ventilation)","Cleared, Landscaped","Electrical, Cable, Telephone, High Speed Internet, Other","Dishwasher, Dryer, Microwave, Refrigerator, Stove, Washer",N/A,N/A,Propane Tank,Exit Realty Metro,Yes,N/A,No,
Subdistrict F (Bedford),"Rochdale Place, Bedford","84 Rochdale Place, Bedford, NS (NOVA SCOTIA)",84 Rochdale Place,https://www.viewpoint.ca/cutsheet/202604011/1/84-Rochdale-Place-Bedford,202604011,"Welcome to 84 Rochdale Place!  This executive bungalow situated on one of the best lots in the community. Boasts the panoramic views of the Bedford basin on the street! Greeted by the massive foyer, you are lured by the open concept great room with soaring ceilings, hardwood floors and massive wall of windows, capturing the breathtaking view. The open concept design of the main floor including the chefs dream kitchen with sizeable dining space, and living room accented by a cozy fireplace. The main level also hosts two generously sized bedrooms, a full bath, and the primary bedroom complete with huge walk in closet, luxurious ensuite bath, and walkout to the deck.  The lower level features a walkout recreation room, fourth bedroom, two flex rooms, full bath and storage!  Outside you will find the massive deck and lower level patio, perfect for event!Rare find in one of the most desirable and executive neighbourhoods in the city! Call today to book your private showing!",2026-03-06,1250000,84 Rochdale Place,Bedford,B4A 0A7,5,3,[],41176546,Single Family,Detached,Bungalow,55x46,19,5,3 / 0,"2,171 sqft","3,890 sqft","16,246 sqft","16,246 sqft","$1,228,200 (2026)",Potential,Asphalt Shingle,"Stone, Brick, Vinyl",Poured Concrete,"Fully Developed, Walkout","Ceramic, Laminate, Hardwood","Heat Pump, Fireplace",Yes,N/A,"Electric, Propane",Municipal,Municipal,"Yes, Attached, Double (double, exposed aggregate.)","Exposed Aggregate, Double",No,N/A,"Alarm System, Central Vacuum, Ensuite Bath, Air Jet Tub, Propane Fireplace","Landscaped, Level, Partial Cleared","Electrical, Cable, Telephone, High Speed Internet","Dishwasher, Dryer, Refrigerator, Stove, Washer","Fridge, stove, dishwasher, washer, dryer",N/A,Propane Tank,Royal Lepage Atlantic,Yes,N/A,No,
Subdistrict F (Bedford),"Southgate Drive, Bedford","48 Southgate Drive, Halifax Regional Municipality, NS (NOVA SCOTIA)",48 Southgate Drive,https://www.viewpoint.ca/cutsheet/202600242/1/48-Southgate-Drive-Halifax-Regional-Municipality,202600242,"Welcome to 48 Southgate, a well-appointed 3-bedroom townhouse located in one of Bedford’s most sought-after, family-friendly neighborhoods. The home features a bright open-concept main floor, a walkout basement offering flexible living space, and brand-new appliances for a move-in-ready experience. In addition to the garage, the property offers multiple rear parking spaces, a rare and practical advantage. Ideally situated close to excellent schools, parks, and everyday amenities, this home presents a strong opportunity for families or buyers seeking comfort, functionality, and location. Vacant possession is available.",2026-01-06,639900,48 Southgate Drive,Halifax Regional Municipality,B4A 0B1,3,4,[],41139841,Single Family,Townhouse,"Townhouse, 2 Level",41x 22.6,21,3,2 / 2,"1,750 sqft","2,350 sqft","3,161 sqft","3,161 sqft","$592,600 (2026)",Potential,Asphalt Shingle,"Brick, Vinyl",Poured Concrete,"Fully Developed, Walkout","Ceramic, Laminate, Hardwood",Baseboard,N/A,N/A,Electric,Municipal,Municipal,"Yes, Attached, Single, Built-in, Heated (single car garage)",Paved (multiple space at the back),No,N/A,"Air Exchanger, Ensuite Bath",Cleared,"Electrical, Cable, Telephone, High Speed Internet","Dishwasher, Dryer, Microwave, Range, Refrigerator, Washer",Appliances,N/A,None,Re/max Nova (halifax),No,N/A,No,
Subdistrict F (Bedford),"Vanier Way, Bedford","24 Vanier Way, Bedford, NS (NOVA SCOTIA)",24 Vanier Way,https://www.viewpoint.ca/cutsheet/202600836/1/24-Vanier-Way-Bedford,202600836,"Roll out the red carpet! 24 Vanier Way is ready to deliver the royal treatment! From its commanding curb appeal to its sweeping Bedford Basin views, this executive two-storey delivers luxury on a grand scale. Nearly 4,000 sf of living space unfolds across three levels with five bedrooms, four baths and endless flexibility for the way you live- think home office, media lounge, guest quarters or all of the above. Inside, the main level dazzles with a soaring foyer, hardwood and ceramic floors, crown mouldings, wainscotting, and elegant columns. At its heart, a vaulted living room with propane fireplace steals the show, anchored by an oversized Venetian window that frames sparkling water vistas. The space flows effortlessly into a breakfast nook and a newly renovated gourmet kitchen where fresh granite countertops, a matching backsplash and abundant cabinetry make both everyday living and entertaining a breeze. Upstairs, the primary suite reigns supreme with panoramic basin views, a massive walk-in closet, and a regal ensuite accented with columns. Two additional bedrooms, another full bath and laundry complete this floor. The lower walkout level continues the versatility with a supersized rec room, two more bedrooms (or flex spaces), another full bath and storage galore. The double car garage stays clutter-free thanks to an 8x8 shed, while curb appeal shines with an exposed aggregate driveway, fresh sod, and meticulous upkeep. Outdoors, freshly poured concrete steps lead to the backyard, where a concrete platform beneath the deck is perfectly poised for that dream hot tub. Recent upgrades bring a fresh polish to every corner- full interior and garage repaint, a new hot water tank, partial chain-link fencing, updated light fixtures, and smart thermostats just to name a few. Add in the integrated home audio system and you’ve got a space that’s as functional as it is stylish. This isn’t just a home-it’s a lifestyle upgrade designed to impress at every turn!",2026-01-15,1199000,24 Vanier Way,Bedford,B4A 0A4,5,4,[],41160441,Single Family,Detached,2 Level,46'7 x 40 +/- jog,20,5,3 / 1,"2,684 sqft","3,929 sqft","11,554 sqft","11,554 sqft","$967,200 (2026)",N/A,Asphalt Shingle,"Brick, Vinyl",Poured Concrete,"Fully Developed, Walkout","Ceramic, Carpet, Hardwood","Forced Air, Heat Pump, Ducted Cooling",Yes,N/A,"Electric, Propane",Municipal,Municipal,"Yes, Attached, Double (double attached)",Exposed Aggregate,No,View: Harbour,"Air Exchanger, Central Vacuum, Balcony, Propane Fireplace","Partially Fenced, Landscaped","Electrical, Cable, Telephone, High Speed Internet","Dishwasher, Dryer, Refrigerator, Stove, Washer",N/A,N/A,Propane Tank,Royal Lepage Atlantic,Yes,N/A,No,
Subdistrict F (Bedford),"Windridge Lane, Bedford","51 Windridge Lane, Bedford, NS (NOVA SCOTIA)",51 Windridge Lane,https://www.viewpoint.ca/cutsheet/202602622/1/51-Windridge-Lane-Bedford,202602622,"Welcome to 51 Windridge Drive, where modern living meets a truly special outdoor retreat.   This beautifully maintained home offers stylish finishes across all three levels, paired with a backyard that stands out. Thoughtfully landscaped for enjoyment, the backyard features raised garden beds, multiple seating areas, and a charming bridge-style walkway—creating a private, peaceful setting perfect for relaxing, entertaining, or enjoying time with family.  Newly installed side steps provide easy, direct access to the backyard, making indoor-outdoor living effortless. Inside, the home delivers a bright, contemporary feel with large windows that bring in natural light and a functional layout designed for today’s lifestyle.  Located in one of Bedford’s most sought-after neighbourhoods, this home offers the best of both worlds—privacy at home and walkable access to everyday amenities. Schools, coffee shops, fitness centres, restaurants, trails, and shopping plazas are all just minutes away.  A home that offers lifestyle, location, and a backyard you’ll truly appreciate—51 Windridge Drive is ready to impress.",2026-02-12,839900,51 Windridge Lane,Bedford,B4A 0E6,4,4,[],41281254,Single Family,Detached,2 Level,28x44,15,4,3 / 1,"1,975 sqft","2,668 sqft","5,512 sqft","5,512 sqft","$768,400 (2026)",N/A,Asphalt Shingle,"Brick, Vinyl",Poured Concrete,"Full, Fully Developed, Walkout","Engineered Hardwood, Ceramic, Carpet","Baseboard, Heat Pump",N/A,N/A,Electric,Municipal,Municipal,"Yes, Single, Built-in, Wired (built in, single, wired.)","Paved, Double (double, paved.)",No,N/A,"Central Vacuum, Ensuite Bath, HRV (Heat Recovery Ventilation)","Level, Hardwood Bush, Fenced, Partial Cleared, Partial Landscaped","Electrical, Cable, Telephone, High Speed Internet","Dishwasher, Dryer, Microwave Rng Hd Combo, Refrigerator, Stove, Washer",N/A,N/A,None,Re/max Nova (halifax),Yes,N/A,No,
