subdistrict_name,street_name,property_name,name,url,listing_id,description,date_posted,price,street_address,adress_locality,postal_code,rooms,bathrooms,listing_history,pid,type,style,building_style,building_dimensions,age,beds,bathrooms_f_h,main_living_area,total_living_area,listing_parcel_size,prov_parcel_size,assessed_at,rental_income,roof,exterior,foundation,basement,flooring,heating_cooling,fireplace,pool,fuel_supply,drinking_water,sewer,has_garage,parking,waterfront,water_access_view,property_features,land_features,utilities,appliances_incl,inclusions,exclusions,rental_equipment,listed_by,has_pcds,betterment_charges,bank_owned,pid_s
Subdistrict A (Bedford),"Ahmadi Crescent, Bedford","39 Ahmadi Crescent, Bedford, NS (NOVA SCOTIA)",39 Ahmadi Crescent,https://www.viewpoint.ca/cutsheet/202613263/1/39-Ahmadi-Crescent-Bedford,202613263,"Welcome to 39 Ahmadi Crescent, a meticulously maintained one-owner home in one of Bedford's most sought-after neighbourhoods near the Paper Mill Lake area. Situated on a quiet crescent surrounded by mature trees and established homes, this impressive five-bedroom, 3.5-bathroom residence offers exceptional space, comfort, and versatility. A welcoming covered front porch leads to a spacious foyer where vaulted ceilings and skylights fill the home with natural light. Multiple living and entertaining areas include a large formal dining room and an expansive family room, creating the perfect setting for both everyday living and special occasions. The main-level primary suite provides the convenience of one-level living and features a walk-in closet, ensuite bath, and a cozy sitting nook ideal for reading, relaxing, or watching TV. The kitchen offers quartz countertops, ample cabinetry, and a functional layout designed for family life and entertaining. All five bedrooms are generously sized, with most featuring walk-in closets. Premium hardwood flooring and quality finishes throughout add timeless appeal and warmth to the home. The extra-large basement provides outstanding flexibility, with space for a recreation room, home theatre, fitness area, teen retreat, or future in-law suite. A substantial lower-level family room offers even more room for gathering and entertaining. Recent updates include a new propane-fired boiler (2026), brand-new basement carpeting, updated ceramic tile flooring, and an architectural shingle roof installed in 2017 with a transferable warranty. Located close to excellent schools, parks, walking trails, shopping, restaurants, and major commuter routes, this exceptional property offers the perfect balance of privacy, convenience, and long-term value. A rare opportunity to own a spacious, beautifully maintained home in one of Bedford's most desirable communities.",2026-06-04,899999,39 Ahmadi Crescent,Bedford,B4A 4E5,5,4,[],40734915,Single Family,Detached,2 Level,45 x 34.8,28,5,3 / 1,"2,463 sqft","3,942 sqft","14,092 sqft","14,092 sqft","$851,200 (2026)",N/A,Asphalt Shingle,"Brick, Aluminium Siding",Poured Concrete,Fully Developed,"Ceramic, Carpet, Hardwood, Linoleum",Hot Water,Yes,N/A,Propane,Municipal,Municipal,"Yes, Attached, Single (attached, one vehicle)",Double (fits 4 cars),No,N/A,"Air Exchanger, Electric Fireplace, Central Vac Roughed In, Walk-in Closet",Partial Landscaped,"Electrical, Cable","Dryer, Range, Refrigerator, Washer",N/A,N/A,Propane Tank,Engel & Volkers,Yes,N/A,No,
Subdistrict A (Bedford),"Amesbury Gate, Bedford","60 Amesbury Gate, Bedford, NS (NOVA SCOTIA)",60 Amesbury Gate,https://www.viewpoint.ca/cutsheet/202606327/1/60-Amesbury-Gate-Bedford,202606327,"Located in the sought-after Waterbury Park community of West Bedford, this thoughtfully designed home offers the perfect blend of style, space, and functionality.  The main level features a bright, open layout centred around a chef-inspired kitchen with full-size fridge and freezer, gas cooktop, wall oven, microwave, prep sink, pot filler, and walk-in pantry. The spacious dining area is ideal for hosting, while the living room offers a warm, inviting space to gather. A well-designed entryway with custom storage and built-in lockers keeps everyday life organized.  Upstairs, the primary suite is a true retreat with vaulted ceilings, statement beams, two walk-in closets (including direct access to the laundry room), and a spa-like ensuite with soaker tub and separate shower. Two additional bedrooms each feature walk-in closets and private 2-piece ensuites, plus a flexible office or optional fifth bedroom.  The fully finished lower level includes a separate side entrance, full kitchen, living area, two bedrooms, full bath, and its own laundry—ideal for extended family or potential rental income.  Step outside to a private backyard designed for summer living, complete with a covered deck, large sun deck, above-ground pool, hot tub, and fenced area for kids or pets. Enjoy direct access to a quiet section of Kearney Lake just behind the property.  Additional highlights include natural gas service, a double garage with 14’ ceilings, and quick access to Highway 102.",2026-04-04,1650000,60 Amesbury Gate,Bedford,B4B 0R4,7,6,[],41403270,Single Family,Detached,2 Level,47 x 42 +/- jogs,10,7,3 / 3,"2,981 sqft","4,176 sqft","10,548 sqft","10,549 sqft","$1,185,800 (2026)",Potential,Asphalt Shingle,"Stone, Vinyl",Poured Concrete,Fully Developed,"Tile, Hardwood","Heat Pump, Fireplace",N/A,Yes,"Natural Gas, Electric",Municipal,Municipal,"Yes, Double, Built-in, Heated, Wired (double, built in)","Concrete, Double (driveway, garage, or street)",No,"Access: Lake, View: Lake","Above Ground Pool, Central Vacuum, Ensuite Bath, Hot Tub, HRV (Heat Recovery Ventilation)","Cleared, Partial Landscaped","Electrical, Cable, Telephone, Natural Gas, High Speed Internet",N/A,N/A,fridges in garage,None,Exp Realty Of Canada Inc.,Yes,N/A,No,
Subdistrict A (Bedford),"Amesbury Gate, Bedford","167 Amesbury Gate, Halifax, NS (NOVA SCOTIA)",167 Amesbury Gate,https://www.viewpoint.ca/cutsheet/202610988/1/167-Amesbury-Gate-Halifax,202610988,"Welcome to this modern-designed home located in one of the most desirable neighborhoods in West Bedford, within one of the area’s top school districts. This lovely property offers 4 bedrooms and 3.5 bathrooms.As you enter the main level, you are welcomed by an airy reception area featuring large windows and a beautiful accent wall. The cozy living room offers a natural gas fireplace and an impressive open-to-above design, creating a bright and spacious atmosphere. The open-concept kitchen is equipped with a brand-new Samsung gas cooktop, built-in microwave and oven, a large pantry with coffee station, and plenty of additional features perfect for modern living.Upstairs, you will find a spacious primary bedroom with a walk-in closet and a luxurious 5-piece ensuite bathroom, along with two additional good-sized bedrooms and a shared main bath.The fully finished basement features a lovely rec room, an additional bedroom, and a full bathroom — ideal for guests or extended family.Don’t forget the comfort of the natural gas boiler system, providing efficient in-floor heating throughout the entire home. The upgraded paver stone driveway and fully fenced private backyard add even more value and enjoyment to this exceptional property. Don’t be fooled by the TLA — without the open-to-below area, this home offers close to 3,200 sqft of functional living space.Conveniently located close to playgrounds, schools, and all amenities.",2026-05-15,939000,167 Amesbury Gate,Halifax,B4B 0P1,4,4,[],41406570,Single Family,Detached,2 Level,34x42,10,4,3 / 1,"1,872 sqft","2,806 sqft","9,057 sqft","9,057 sqft","$942,500 (2026)",N/A,Asphalt Shingle,"Masonite/Colour Lock, Wood Shingles, Vinyl",Poured Concrete,Fully Developed,"Engineered Hardwood, Tile, Laminate, Hardwood","Baseboard, Ductless Cooling",N/A,N/A,"Natural Gas, Electric",Municipal,Municipal,"Yes, Built-in, 1.5 (built in)","Brick, Block, Concrete, Double",No,N/A,Air Exchanger,"Cleared, Landscaped","Electrical, Cable, Natural Gas, High Speed Internet","Cooktop - Gas, Dishwasher, Dryer, Refrigerator, Washer",All appliances,N/A,None,Royal Lepage Atlantic,No,N/A,No,
Subdistrict A (Bedford),"Amin Street, Bedford","40 Amin Street, Bedford, NS (NOVA SCOTIA)",40 Amin Street,https://www.viewpoint.ca/cutsheet/202609966/1/40-Amin-Street-Bedford,202609966,"Check out this immaculate Grade Entry Semi-Detached 3 Bedroom 1 1/2 Bath home in Papermill Lake Bedford. With a list of upgrades and improvements a mile long-This outstanding property is sure to impress! Enter the Patio/Mud room addition which provides convenient access to the main level and the rear of the home. The well-sized eat-in kitchen featuring stylish brand new stove, with sufficient cabinet storage, counter space and room for an island should you wish. The Living Room is bright, welcoming and perfect for the family to relax and enjoy. Main Floor Laundry and half bath. Upstairs there are 3 Bedrooms featuring a Primary Bedroom with Walk-In Closet. The 2 other Bedrooms face the back yard and enjoy the afternoon sun-could double as an office. 4 Piece Bath with Upgraded Granite Countertop. This home features in-floor heat throughout and has a time-of-date meter for large savings on electricity. Paved driveway provides plenty of room for multiple vehicles. The Backyard Is a Private Oasis, great for BBQ's and perfect for the entire family. Green Space directly in the back. Large shed-great for garden tools or yard furniture. This home has been well-maintained many updates including Roof Shingle replacement 2014, All new Kohler windows (except kitchen), Engineered Hardwood, Mud-Room Addition, Back Yard, Patio & Kohler exterior doors and shed 2018, New Electric Boiler, Electrical Panel, HWT 2019, LG Air Conditioner 2020 & Freshly painted 2021.( See Full Upgrade List under Docs) Close to all the amenities Bedford has to offer, walking paths as well as walk to Papermill Lake, learn the history of the Dam while walking along the path. This home is move-in ready!",2026-05-06,479900,40 Amin Street,Bedford,B4A 4B8,3,2,[],40696098,Single Family,Semi-Detached,2 Level,30 x 20 + 10.6 x 11.4 + 12 x 7.7,30,3,1 / 1,"1,412 sqft","1,412 sqft","7,674 sqft","7,674 sqft","$512,800 (2026)",Potential,Asphalt Shingle,"Brick, Vinyl",Poured Concrete,None,"Engineered Hardwood, Tile, Carpet","Radiant, Hot Water, In Floor, Window Cooling",N/A,N/A,Electric,Municipal,Municipal,"No, None",Paved (driveway),No,N/A,HRV (Heat Recovery Ventilation),"Cleared, Landscaped, Fenced","Electrical, Cable, Telephone, High Speed Internet","Dishwasher, Dryer, Microwave Rng Hd Combo, Refrigerator, Stove, Washer",N/A,N/A,Water Heater,Pied A Terre Realty Inc.,No,N/A,No,
Subdistrict A (Bedford),"Blanchard Crescent, Bedford","10 Blanchard Crescent, Bedford, NS (NOVA SCOTIA)",10 Blanchard Crescent,https://www.viewpoint.ca/cutsheet/202612565/1/10-Blanchard-Crescent-Bedford,202612565,"This executive two-storey home in central Bedford offers outstanding curb appeal, a charming white picket fence, and a spacious double driveway. It provides the rare lifestyle advantage of being just a four-minute walk to the elementary school and within walking distance to two daycares. As a former model home meticulously maintained by its original owners, the property features a huge eat-in kitchen, a formal dining room, and a cozy propane fireplace in the living room. All three bathrooms have been beautifully renovated, including a spa-style primary ensuite with an air-jet tub. The unique layout includes a family room above the garage with a vaulted ceiling, excellent storage, and a basement rough-in for a future bath. Set on a one-way crescent, the property also offers a private backyard with an established perennial garden and a 2-tier sunny deck. A home that truly supports family life, surrounded by great neighbours, walkable amenities and the school just minutes away.",2026-05-29,774900,10 Blanchard Crescent,Bedford,B4A 4C5,3,3,[],40649121,Single Family,Detached,2 Level,36 x 38,30,3,2 / 1,"2,039 sqft","2,039 sqft","7,743 sqft","7,743 sqft","$679,400 (2026)",N/A,Asphalt Shingle,Vinyl,Poured Concrete,"Undeveloped, Full","Tile, Carpet, Hardwood","Furnace, Forced Air, Fireplace",Yes,N/A,"Oil, Propane",Municipal,Municipal,"Yes, Attached, Single (attached)","Paved, Double (double driveway)",No,N/A,"Central Vacuum, Ensuite Bath, Air Jet Tub, Propane Fireplace, Walk-in Closet","Partially Fenced, Landscaped, Partial Cleared","Electrical, Cable, Telephone, High Speed Internet","Central Vacuum, Dishwasher, Dryer, Microwave, Oven, Refrigerator, Washer",N/A,N/A,Propane Tank,Keller Williams Select Realty,Yes,N/A,No,
Subdistrict A (Bedford),"Bradford Place, Bedford","69 Bradford Place, Bedford, NS (NOVA SCOTIA)",69 Bradford Place,https://www.viewpoint.ca/cutsheet/202608357/1/69-Bradford-Place-Bedford,202608357,"Welcome to 69 Bradford Place in Waterberry Park. Located in the sought-after Parks of West Bedford, this stylish home offers the perfect blend of comfort and natural serenity, with the convenience of main-level living—featuring a spacious primary bedroom and laundry on the main floor.This beautifully designed two-level home offers 4 bedrooms, 3 bathrooms, and over 2,600 sq. ft. of living space—ideal for both everyday living and entertaining. The open-concept main level features a bright and inviting living area, a large primary suite complete with an ensuite and walk-in closet, and an additional bedroom perfect for guests or a home office. Downstairs you’ll find two more generously sized bedrooms, a full bathroom, and a large rec room with walkout access to a sunny, private backyard—complete with your very own above-ground pool. Surrounded by mature trees, it’s the perfect setting for summer entertaining. Enjoy outdoor living to the fullest with a beautiful patio featuring a motorized awning, a propane BBQ hookup, and a heat pump indoors for year-round comfort. Located just minutes from the brand-new P–12 school (offering both English and French programs), as well as parks, restaurants, pickleball courts, walking trails, and lakes—this home truly puts you at the center of it all, with easy access to Halifax, Sackville, Dartmouth, and beyond.",2026-04-23,879900,69 Bradford Place,Bedford,B4B 0R7,4,3,[],41405051,Single Family,Detached,Bungalow,47 x 42,10,4,3 / 0,"1,374 sqft","2,689 sqft","8,245 sqft","8,245 sqft","$901,700 (2026)",N/A,Asphalt Shingle,"Stone, Vinyl",Poured Concrete,"Fully Developed, Walkout","Ceramic, Laminate, Hardwood",Heat Pump,Yes,Yes,"Electric, Propane",Municipal,Municipal,"Yes, Built-in, 1.5 (built in)","Concrete, Double (room for 2 vehicles.)",No,N/A,"Above Ground Pool, Central Vacuum, Ensuite Bath, Balcony, Propane Fireplace, Walk-in Closet","Cleared, Level, Fenced","Electrical, Cable, High Speed Internet","Central Vacuum, Dishwasher, Dryer, Microwave, Refrigerator, Stove, Washer","Closet in basement bedroom, storage in garage",N/A,Propane Tank,Exit Real Estate Professionals,Yes,N/A,No,
Subdistrict A (Bedford),"Bradford Place, Bedford","70 Bradford Place, Bedford West, NS (NOVA SCOTIA)",70 Bradford Place,https://www.viewpoint.ca/cutsheet/202615953/1/70-Bradford-Place-Bedford-West,202615953,"Welcome to 70 Bradford Place Prepare to be impressed. With over 6,000 square feet of beautifully designed living space, this exceptional home is truly a showstopper from the moment you step through the front door. The main level is an entertainer’s dream, featuring soaring 12-foot ceilings, a stunning oversized center island, and an expansive dining area perfect for hosting family and friends. The chef-inspired kitchen boasts a gas cooktop, ceiling-height cabinetry, and even a charming sliding ladder for easy access to upper storage. The spacious living room is anchored by a cozy gas fireplace and an impressive custom feature wall designed to showcase your favorite artwork, books, and treasured keepsakes. Also on the main floor are two versatile rooms that can serve as bedrooms, offices, or dens, along with a full bathroom and a convenient powder room. Upstairs, you'll find a luxurious primary retreat complete with a boutique-style walk-in closet and a spa-like 6-piece ensuite. A second primary suite offers its own walk-in closet and private ensuite, making it ideal for extended family or guests. This level also features a generous family room, two additional bedrooms, a full bathroom, and a laundry room.The lower level offers incredible flexibility. It includes another primary suite with ensuite, two additional bedrooms, full bathroom, a second laundry room, and a spacious recreation area with a full kitchen and dining space. With its own dedicated ducted heat pump, this level can function as an extension of the main home or as a fully self-contained suite. Thoughtfully designed for long-term convenience, the builder also incorporated dedicated elevator space on each level. These areas are currently utilized as three spacious storage closets, offering excellent functionality today and future accessibility options tomorrow.This remarkable property seamlessly combines luxury, versatility, and thoughtful design, making it a truly one-of-a-kind place to call home.",2026-06-29,1799900,70 Bradford Place,Bedford West,B4B 0R6,9,7,[],41404807,Single Family,Detached,3 Level,50 x 44,3,9,6 / 1,"3,912 sqft","6,015 sqft","9,892 sqft","9,888 sqft","$1,694,000 (2026)",Potential,Asphalt Shingle,Brick,Poured Concrete,"Fully Developed, Walkout","Engineered Hardwood, Ceramic","Heat Pump, Fireplace, In Floor, Ducted Cooling",Yes,N/A,Natural Gas,Municipal,Municipal,"Yes, Double, Built-in (built in)","Paved, Double (double paved driveway)",No,N/A,"Air Exchanger, Alarm System, Secondary Suite, Central Vacuum, Ensuite Bath, Balcony, See Remarks, Fireplace(s), Walk-in Closet","Landscaped, Level","Electrical, Cable, Telephone, High Speed Internet","Central Vacuum, Cooktop - Gas, Dishwasher, Dryer - Electric, Microwave, Oven - Electric, Range - Electric, Refrigerator, Washer","Fridge x 2, cooktop, oven, microwave, stove, Dishwasher x 2, Washer x 2, Dryer x 2,",N/A,None,Royal Lepage Atlantic,No,N/A,No,
Subdistrict A (Bedford),"Bramwell Court, Bedford","10 Bramwell Court, Bedford, NS (NOVA SCOTIA)",10 Bramwell Court,https://www.viewpoint.ca/cutsheet/202611860/1/10-Bramwell-Court-Bedford,202611860,"Do not miss out on this home! Kids playing in the streets, folks walking their dogs, chatting with the neighbours, strolling over to a nearby restaurant for dinner, weekends enjoying the yard, bbqs on the deck are just the beginning. Inside, this west coast style home shines brightly, designed with function and beauty blended together to create a warm, inviting atmosphere. As we enter, every space is above grade, with lots of natural light and well designed rooms throughout. On the main floor every room is thoughtfully laid out. Take the gourmet kitchen, with sparkling white cabinets, transom lights, accent backsplash and the incredible island with dark styling and gorgeous white quartz countertops. The living room blends naturally into the open concept design while the accent wall and fireplace create another focal point. When dining, we enjoy another generous space, private while still flowing into the open design. Even the 1/2 bath is ideally placed, completely private and away from the main living areas. Upstairs, the two secondary bedrooms are balanced nicely, while the actual laundry room and full bath check off those need to have boxes. The real star of the upper level is the primary bedroom, with its tray ceiling, ample space for everything, generous walk-in closet and full ensuite with double vanity. The grade level where we come in includes an oversized garage, big bright rec room and a 4th bedroom or office. The house wide back deck overlooks the fully fenced back yard, with the nicely treed back berm offering extra greenery and privacy. Give yourself the opportunity to let this home speak for itself, come visit and see how it feels for you.",2026-05-22,799900,10 Bramwell Court,Bedford,B4B 0W2,4,4,[],41427683,Single Family,Detached,3 Level,22.4 x 44.2 +/- jogs,9,4,3 / 1,"2,450 sqft","2,450 sqft","5,823 sqft","5,824 sqft","$815,400 (2026)",N/A,Asphalt Shingle,"Stone, Wood Siding, Vinyl",Poured Concrete,"Fully Developed, Walkout","Ceramic, Laminate, Hardwood, Porcelain","Baseboard, Heat Pump, Ductless Cooling",Yes,N/A,Electric,Municipal,Municipal,"Yes, Single, Built-in, Heated (14'11"" x 20'11"")",Paved,No,N/A,"Alarm System, Ensuite Bath, Balcony, Electric Fireplace, HRV (Heat Recovery Ventilation)","Landscaped, Softwood Bush","Electrical, Cable, Telephone, High Speed Internet",N/A,Curtains and hardware,N/A,None,Royal Lepage Atlantic,Yes,N/A,No,
Subdistrict A (Bedford),"Bramwell Court, Bedford","86 Bramwell Court, Bedford, NS (NOVA SCOTIA)",86 Bramwell Court,https://www.viewpoint.ca/cutsheet/202614413/1/86-Bramwell-Court-Bedford,202614413,"Welcome to 86 Bramwell Court, ideally situated on a quiet cul-de-sac in one of West Bedford's most sought-after family neighbourhoods and within the catchment of highly desirable newer schools. Step inside to a bright and inviting foyer that opens into this beautifully designed home featuring soaring ceilings and an abundance of natural light. The open-concept main level offers a stylish kitchen, spacious great room with a propane fireplace, a dedicated office space perfect for working from home, and a convenient powder room. Upstairs, you'll find a stunning primary suite complete with a 5-piece ensuite and walk-in closet, along with two additional generously sized bedrooms, a well-appointed guest bathroom, and convenient upper-level laundry. The fully finished walk-out lower level is ideal for entertaining or accommodating guests, featuring a spacious rec room with a wet bar, a fourth bedroom, and a full bath. Set on an impressive lot with a huge backyard, this exceptional home offers the perfect blend of comfort, functionality, and location in the heart of West Bedford.",2026-06-15,859900,86 Bramwell Court,Bedford,B4B 0W2,4,4,[],41427857,Single Family,Detached,2 Level,44' x 22',9,4,3 / 1,"1,856 sqft","2,515 sqft","10,014 sqft","10,014 sqft","$852,900 (2026)",Potential,Asphalt Shingle,"Brick, Vinyl",Poured Concrete,"Full, Fully Developed, Walkout","Tile, Ceramic, Laminate, Hardwood","Baseboard, Furnace, Heat Pump",Yes,N/A,"Natural Gas, Electric",Municipal,Municipal,"Yes, Attached, Built-in, Heated (attached)","Paved, Single",No,N/A,"Gas Stove(s), Air Exchanger, Ensuite Bath, Electric Fireplace, HRV (Heat Recovery Ventilation)","Cleared, Landscaped","Electrical, Cable, Telephone, Natural Gas, High Speed Internet","Dryer, Microwave, Range - Gas, Refrigerator, Washer",Appliances and blinds installed.,N/A,None,Sutton Group Professional Realty,Yes,N/A,No,
Subdistrict A (Bedford),"Innsbrook Way, Bedford","40 Innsbrook Way, Bedford, NS (NOVA SCOTIA)",40 Innsbrook Way,https://www.viewpoint.ca/cutsheet/202606972/1/40-Innsbrook-Way-Bedford,202606972,"Welcome to 40 Innsbrook Way in The Parks of West Bedford! This 6 year old, immaculate single family detached home is move-in ready and is located minutes from the new P-12 West Bedford School, arenas, tennis courts, bakeries, coffee shops and your favourite West Bedford amenities.  This home includes high end finishes from top to bottom. Some of it’s best features include: 40ft wide lot - giving a much wider main floor living room, hardwood flooring, beautiful natural gas fireplace, 9ft high ceilings on main and lower level, white & wood tone kitchen cabinets, walk-in pantry, stainless steel appliances, natural gas range & BBQ hook up (option for gas laundry too), white quartz countertops, large island, stairs off the back deck to level backyard, huge primary ensuite bathroom, large closets, statement lighting, lots of natural light, heat pumps for AC. This home is an entertainer’s dream with an open-concept main floor and convenient powder room. Upstairs, you’ll find 3 bedrooms, including the luxurious primary bedroom, with a large walk-in closet and a spa-like ensuite! Relax in the soaker bathtub or separate shower. A second full bathroom and laundry room are also conveniently located down the hall. The lower level offers a cozy rec room, a full bathroom and 4th bedroom or office space - whatever you prefer. Located on a family-friendly cul-de-sac, with a spacious backyard - you will love hanging out on the back deck!",2026-04-10,850000,40 Innsbrook Way,Bedford,B4B 0X6,4,4,[],41440777,Single Family,Detached,2 Level,28 x 45,6,4,3 / 1,"1,729 sqft","2,528 sqft","4,990 sqft","4,990 sqft","$853,800 (2026)",N/A,Asphalt Shingle,"Stone, Wood Siding, Vinyl",Poured Concrete,Fully Developed,"Tile, Carpet, Laminate, Hardwood","Baseboard, Heat Pump, Fireplace, Ductless Cooling",Yes,N/A,"Natural Gas, Electric",Municipal,Municipal,"Yes, Attached, Single, Wired (single heated attached)","Paved, Double (paved, double)",No,N/A,"Gas Stove(s), Air Exchanger, Ensuite Bath, Fireplace(s), HRV (Heat Recovery Ventilation), Walk-in Closet","Partially Fenced, Cleared, Landscaped, Level","Electrical, Telephone, Natural Gas, High Speed Internet","Dishwasher, Dryer, Range - Gas, Refrigerator, Washer",appliances,N/A,None,Re/max Nova (halifax),Yes,N/A,No,
