subdistrict_name,street_name,property_name,name,url,listing_id,description,date_posted,price,street_address,adress_locality,postal_code,rooms,bathrooms,listing_history,pid,type,style,building_style,building_dimensions,age,beds,bathrooms_f_h,main_living_area,total_living_area,listing_parcel_size,prov_parcel_size,assessed_at,rental_income,roof,exterior,foundation,basement,flooring,heating_cooling,fireplace,pool,fuel_supply,drinking_water,sewer,has_garage,parking,waterfront,water_access_view,property_features,land_features,utilities,appliances_incl,inclusions,exclusions,rental_equipment,listed_by,has_pcds,betterment_charges,bank_owned
Subdistrict A (Bedford),"Amesbury Gate, Bedford","47 Amesbury Gate, Bedford, NS (NOVA SCOTIA)",47 Amesbury Gate,https://www.viewpoint.ca/cutsheet/202504939/1/47-Amesbury-Gate,202504939,"This 5 bedroom home offers to the executive family, space, comfort, luxury and quality unsurpassed by any home in West Bedford. This home simply has it all! The main level feature a massive formal dining room an living area with 10"" ceilings throughout. A finely appointed butler's pantry, a large custom high ends contemporary kitchen with 5 appliances, marble countertops, built-in pantry, a prep kitchen area and a massive island. This area opens to the family room with large oversized windows looking onto a large deck and fully landscaped back yard. The family room is highlighted by a three way natural gas fireplace. The millwork and finish detailing in this home is of excellent quality. Hardwood flooring throughout the main and 2nd levels. Marble countertops and high end tile flooring in all bathrooms. The second floor has 4 large bedrooms with massive mater bedroom and finely appointed ensuite, main bath, laundry room complete with upgrade waster and natural gas dryer. The basement grade level has the 2 car garage, rec room, fitness room, 5th bedroom and games-room with wet bar. The side door walkout is ideal for teenagers or in-laws staying ver. Home is heated and cooled with a fully ducted natural gas heat pump system.",2025-03-14,1199900,47 Amesbury Gate,Bedford,B4B 0R5,5,4,[],41403320,Single Family,Detached,2 Level,38' x 39',8,5,3 / 1,"3,186 sqft","4,287 sqft","6,562 sqft","6,562 sqft","$1,103,500 (2025)",No,Asphalt Shingle,"Stone, Vinyl",Poured Concrete,Fully Developed,"Ceramic, Hardwood",Heat Pump,N/A,N/A,"Natural Gas, Electric",Municipal,Municipal,"Yes, Double, Built-in (double built-in)","Interlocking, Double (double interlocking)",No,N/A,N/A,"Landscaped, Level","Electrical, Cable, Telephone, High Speed Internet","Dishwasher, Stove, Washer",N/A,Mirrors in Living Room and next to the main entrance All art work on Walls (photos and prints) Living Room Furniture is availble for purchase separately,None,Keller Williams Select Realty,Yes,N/A,No
Subdistrict A (Bedford),"Amesbury Gate, Bedford","216 Amesbury Gate, Bedford, NS (NOVA SCOTIA)",216 Amesbury Gate,https://www.viewpoint.ca/cutsheet/202507715/1/216-Amesbury-Gate,202507715,"Welcome to 216 Amesbury Gate, an exceptionally rare opportunity to own the largest lot in West Bedford. Boasting over 3,500 square feet of beautifully finished living space and nestled on 1.4 acres of partially landscaped, treed land, this property offers the perfect blend of privacy, luxury, and natural charm.  Step outside and enjoy your own private oasis, complete with a cleared walking path, lovely berry bushes, herbs and a variety of perennials, a bonus pond adjacent to the property—perfect for skating in the winter months.   Inside, this stunning residence features 5 spacious bedrooms and 5 well-appointed bathrooms. The sun-drenched interior is highlighted by huge windows that fill the home with natural light. The main floor showcases a chef’s kitchen, a mudroom conveniently located off the garage, a walk-in pantry, and a cozy natural gas fireplace. From the kitchen, step out onto the large back deck—ideal for entertaining or relaxing in your peaceful surroundings.  Upstairs, the luxurious primary suite offers a spa-like escape with a custom-designed walk-in closet, a spa-inspired ensuite bath, and a covered balcony to unwind with your morning coffee or evening reading spot. Each of the remaining three upstairs bedrooms includes access to its own ensuite bath—perfect for a growing family or visiting guests.  The fully finished lower level features a bright and spacious rec room with walk-out access, a pool table, and a versatile bonus room that could be used as an office, additional bedroom, or home theatre.  Additional highlights include solar panels for energy efficiency, a relaxing swim spa, and a double car garage that has been extended for extra space and functionality.  Whether you're entertaining, raising a family, or simply enjoying the tranquility of nature, this home truly has it all. Opportunities like this are rare—don’t miss your chance to own this one-of-a-kind property in West Bedford.",2025-04-14,1225000,216 Amesbury Gate,West Bedford,B4B 0S7,5,5,[],41406836,Single Family,Detached,2 Level,38x45,6,5,4 / 1,"2,528 sqft","3,589 sqft","60,043 sqft (1.4 acres)","60,043 sqft (1.4 acres)","$1,177,500 (2025)",Potential,Asphalt Shingle,N/A,Poured Concrete,Fully Developed,"Ceramic, Laminate, Hardwood","Baseboard, Heat Pump",N/A,N/A,"Natural Gas, Electric",Municipal,Municipal,"Yes, Attached (extended double)",2 parking spaces in front of home. additional parking along the side if needed.,No,N/A,"Ensuite Bath, Hot Tub","Partially Fenced, Landscaped, Stream/Pond, Wooded/Treed, Partial Cleared, Partial Landscaped","Electrical, Cable, Telephone, High Speed Internet",N/A,N/A,N/A,Other,Coldwell Banker Maritime Realty,Yes,N/A,No
Subdistrict A (Bedford),"Azita Court, Bedford","15 Azita Court, Bedford, NS (NOVA SCOTIA)",15 Azita Court,https://www.viewpoint.ca/cutsheet/202507164/1/15-Azita-Court,202507164,"Situated in Bedford's wonderful Moirs Mill area, this three-level, semi-detached home is ready for new owners! You'll love the gleaming hardwood floors throughout. Starting on the grade-entry level, the family room, complete with a walkout, was previously used as a crafting area. Built-in shelving offers excellent storage, making it perfect for hobbies, books, puzzles, toys, or whatever suits your lifestyle. From here, step out into the wooded and treed backyard. Up on the main floor, enjoy morning sun on your back deck and sunsets from the front yard. This level features a spacious open-concept living, dining, and kitchen area, complete with room for an additional table, as well as a convenient 2-piece bathroom. On the top floor, the primary suite is generously sized, featuring double closets and a 4-piece ensuite. Two additional bedrooms and a third full bathroom complete this level. For year-round comfort, the home is equipped with three ductless mini-split heat pumps, one on each floor. Located on a quiet cul-de-sac, this home is just minutes from all the amenities that make Bedford such a desirable place to live.",2025-04-08,589900,15 Azita Court,Bedford,B4A 3Y6,3,3,[],40728172,Single Family,Semi-Detached,2 Level,"34'3"" x 19'7""",30,3,2 / 1,"1,652 sqft","1,652 sqft","2,213 sqft","2,213 sqft","$525,500 (2025)",Potential,Asphalt Shingle,Vinyl,Poured Concrete,"Full, Fully Developed, Walkout","Ceramic, Carpet, Hardwood","Baseboard, Heat Pump",N/A,N/A,"Electric, Propane",Municipal,Municipal,"Yes, Single, Built-in, Wired (single built in)","Paved, Single",No,N/A,"Ensuite Bath, Central Vac Roughed In","Landscaped, Level, Sloping/Terraced, Wooded/Treed","Electrical, Cable, Telephone, High Speed Internet","Dishwasher, Dryer, Microwave, Refrigerator, Stove, Washer","Fridge, Stove, Microwave, Dishwasher, Washer, Dryer (Stove ""as is"")",N/A,Propane Tank,Royal Lepage Atlantic,Yes,N/A,No
Subdistrict A (Bedford),"Bradford Place, Bedford","108 Bradford Place, Bedford, NS (NOVA SCOTIA)",108 Bradford Place,https://www.viewpoint.ca/cutsheet/202508791/1/108-Bradford-Place,202508791,"Welcome to 108 Bradford Place in the feverishly popular and sought-after Waterberry Park community of West Bedford.  This exciting, 7 years young, 4-bedroom / 3- full bathroom modern home sits on a beautifully landscaped and partially fenced-in lot and has been meticulously maintained by its original owners. The curb appeal of the street and homes with its abundance of custom architectural builds, paver stone driveways, and chic modern designs create a lasting first impression.  Inside, discerning buyers will fall in love with the attractive open-concept floor plan and gorgeous high-end finishes.  The main floor has an inviting wall-papered foyer with french doors, a street-facing bedroom/office (perfect for extended family), a full bath + laundry room, a delightful chef's kitchen with gorgeous mocha cabinets, large sit-up island and granite surfaces, high-ceilings, a spacious living room with a feature wall gas fireplace, a custom beverage bar with bonus storage in the dining room and patio doors to an over-sized entertainment deck with privacy panels and stairs to the yard!  A full view of your gorgeous perennials, large 12x16 garden shed and warm sun all day long! The penthouse primary bedroom MUST be seen in person, features the entire upper level and is partnered with a spa-like ensuite with custom glass shower, soaker tub, double vanity and large walk-in closet.  The basement will not feel so ""down"" with two more large bedrooms, a large rec room, home theatre/flex room and lots of storage.  The home features solid-surface flooring throughout, as well as a natural gas ducted heat pump system for heating and cooling, and energy efficiency/ savings! This home features a host of custom details you will not find in new construction today at this price. Contact your agent for a list of upgrades too long to list here and other details.  This home is truly special and should not be missed.",2025-04-24,999900,108 Bradford Place,Bedford,B4B 0R6,4,3,[],41404880,Single Family,Detached,Bungalow,32.10x48.9 +/- jog,7,4,3 / 0,"2,294 sqft","3,429 sqft","9,688 sqft","9,684 sqft","$932,200 (2025)",N/A,Asphalt Shingle,"Steel, Brick, Aluminium Siding, Vinyl",Poured Concrete,Fully Developed,"Ceramic, Laminate, Hardwood","Heat Pump, Fireplace",Yes,N/A,"Natural Gas, Electric",Municipal,Municipal,"Yes, Attached, 1.5 (attached, 1.5)","Interlocking, Double",No,N/A,"Fireplace(s), HRV (Heat Recovery Ventilation)","Landscaped, Level","Electrical, Cable, Telephone, Natural Gas, High Speed Internet, Other","Dishwasher, Dryer, Refrigerator, Stove - Gas, Washer","fridge, stove, dishwasher, range hood, washer, dryer","wireless hotspots main floor & basement, motion sensor switches, security system with flood sensors & glass break monitors, shed storage inside, selected perennials, some flag stones in backyard",None,Royal Lepage Atlantic,Yes,N/A,No
Subdistrict A (Bedford),"Bramwell Court, Bedford","21 Bramwell Court, Bedford, NS (NOVA SCOTIA)",21 Bramwell Court,https://www.viewpoint.ca/cutsheet/202510205/1/21-Bramwell-Court,202510205,"Welcome to 21 Bramwell Court in the feverishly popular Cascades Park of West Bedford.  This stunning 3+1 bedroom, 3.5 bathroom detached home is a delight, and it's nestled on a quiet cul-de-sac that backs onto a beautiful ravine and green space. This property offers the perfect balance of luxury and comfort with a spacious 1.5-car garage, a gently sloping lot, and a walkout basement to a tranquil backyard. Enjoy a natural gas ducted heat pump that provides energy-efficient centralized heating and cooling for savings and year-round comfort. The main floor boasts a grade-level, open-concept layout with high-end laminate throughout, an awe-inspiring patio door system, and a sun deck that overlooks the yard and gorgeous ravine with greenery abound. The upgraded kitchen is a chef’s dream, offering an abundance of cabinet space, an expansive island, and a custom pantry for ample storage. Gorgeous light fixtures are found throughout the home, adding an elegant touch to every room. Off the powder room, you’ll find a convenient locker area ideal for a growing family. Upstairs, three spacious bedrooms await, including the stunning primary bedroom complete with a large walk-in closet and a spa-like ensuite featuring a floating double vanity and custom shower. The dedicated laundry room adds practicality and convenience. The walkout basement offers a large rec room, full bath, and a 4th bedroom/ den. Quartz counters in all bathrooms and the kitchen.  A gas stove, a living room gas fireplace, a gas dryer, and gas BBQ hookup are also included!  With its combination of modern upgrades and exceptional features, this property is truly a must-see!",2025-05-08,919900,21 Bramwell Court,Bedford,B4B 0W2,4,4,[],41428046,Single Family,Detached,2 Level,28.4 x 50.5,7,4,3 / 1,"2,086 sqft","2,928 sqft","5,213 sqft","5,211 sqft","$852,300 (2025)",N/A,Asphalt Shingle,"Other, Brick, Vinyl",Poured Concrete,"Fully Developed, Walkout","Tile, Laminate, Porcelain","Heat Pump, Fireplace",Yes,N/A,"Natural Gas, Electric",Municipal,Municipal,"Yes, Attached, 1.5, Heated (attached. 1.5, heated)",Paved (concrete),No,N/A,"Ensuite Bath, Balcony, Fireplace(s), HRV (Heat Recovery Ventilation)",Landscaped,"Electrical, Cable, Telephone, Natural Gas, High Speed Internet, Other","Dishwasher, Dryer - Gas, Refrigerator, Stove - Gas, Washer","Fridge, Stove, Dishwasher, Washer and Dryer",N/A,None,Royal Lepage Atlantic,Yes,N/A,No
Subdistrict A (Bedford),"Bramwell Court, Bedford","40 Bramwell Court, Bedford, NS (NOVA SCOTIA)",40 Bramwell Court,https://www.viewpoint.ca/cutsheet/202510214/1/40-Bramwell-Court,202510214,"Tucked away on a quiet cul-de-sac in The Parks of West Bedford—where neighbours quickly become friends and kids ride their bikes through tree-lined trails and green parks—you’ll find 40 Bramwell Court. The moment you walk in, those 12’ ceilings and the bright, open layout just feel like home.  And the kitchen? It’s truly the heart of it all. Sleek, modern cabinetry, quartz countertops, a huge island that’s perfect for morning coffee or evening chats—and a built-in pantry for all the storage you’ll ever need.  After a long day, pour yourself a glass of wine and unwind by the fireplace, or on the weekend, invite your friends over for a BBQ and washer toss on the oversized west-facing deck overlooking one of the biggest lots in the area.  Upstairs, the primary suite is a dream. A spa-like ensuite with a double floating vanity, tiled shower, and a freestanding soaker tub you’ll never want to get out of. And of course, a big walk-in closet.  This home has everything: 3 more spacious bedrooms, 2.5 bathrooms, second-floor laundry, a cozy rec room, ducted heat pump for year-round comfort, and a built-in garage.  It’s not just a house. It’s a lifestyle—and it’s waiting for you.",2025-05-07,839900,40 Bramwell Court,West Bedford,B4B 0W2,4,4,[],41427758,Single Family,Detached,2 Level,22x43,7,4,3 / 1,"1,880 sqft","2,589 sqft","6,273 sqft","6,273 sqft","$818,900 (2025)",Potential,Asphalt Shingle,"Stone, Wood Siding, Vinyl",Poured Concrete,"Full, Fully Developed","Ceramic, Laminate, Hardwood",Heat Pump,N/A,N/A,Natural Gas,Municipal,Municipal,"Yes, Single, Built-in, Heated (single, built-in)",Paved (paved driveway),No,N/A,"Air Exchanger, Alarm System, Ensuite Bath, See Remarks, HRV (Heat Recovery Ventilation)",Landscaped,"Electrical, Cable, Telephone, Natural Gas, High Speed Internet","Dishwasher, Dryer, Microwave, Oven, Refrigerator, Stove, Washer",N/A,N/A,None,Re/max Nova,Yes,N/A,No
Subdistrict A (Bedford),"Bramwell Court, Bedford","61 Bramwell Court, Bedford, NS (NOVA SCOTIA)",61 Bramwell Court,https://www.viewpoint.ca/cutsheet/202508821/1/61-Bramwell-Court,202508821,"Welcome to 61 Bramwell Crt, located in the heart of The Parks of West Bedford—where thoughtful design meets modern comfort. This contemporary 4-bed, 4-bath home offers a spacious layout backing onto a peaceful greenbelt, blending natural privacy w/ everyday convenience. Step inside to an open-concept main floor that feels both stylish & inviting. The kitchen is beautifully designed w/ clean lines, ample counter space, & a generous walk-in pantry—perfect for entertaining or daily family life. A bright dining area completes the space, making it the heart of the home. Upstairs, the spacious primary suite is a true retreat, featuring a spa-like ensuite w/ a soaker tub, ideal for unwinding at the end of the day. 2 additional well-sized bedrms, a full bath, & a dedicated laundry room complete this level w/ comfort & functionality. The lower level has a huge rec room, a cozy family rm, a private office, & another full bathrm. The walkout basement opens directly into the extended backyard, offering seamless access to the greenbelt, perfect for outdoor living & enjoying the natural setting.",2025-04-24,919900,61 Bramwell Court,Bedford,B4B 0W2,4,4,[],41427915,Single Family,Detached,2 Level,53' 7 x 22' +/- jog,7,4,3 / 1,"2,171 sqft","3,037 sqft","4,332 sqft","4,330 sqft","$865,300 (2025)",Potential,Asphalt Shingle,"Brick, Vinyl",Poured Concrete,Fully Developed,"Ceramic, Laminate, Hardwood","Heat Pump, Fireplace",N/A,N/A,"Natural Gas, Electric",Municipal,Municipal,"Yes, Attached, Single, Heated (single attached)",Paved,No,N/A,"Air Exchanger, Central Vacuum, Ensuite Bath","Landscaped, Fenced","Electrical, Cable, Telephone, Natural Gas, High Speed Internet","Dishwasher, Dryer - Electric, Microwave Rng Hd Combo, Oven - Electric, Range - Electric, Refrigerator, Washer","Oven, F, Range, DW, D, W, Microwave",N/A,None,Royal Lepage Atlantic,Yes,N/A,No
Subdistrict A (Bedford),"Christie Court, Bedford","2 Christie Court, Bedford, NS (NOVA SCOTIA)",2 Christie Court,https://www.viewpoint.ca/cutsheet/202503685/1/2-Christie-Court,202503685,"A Perfect Blend of Comfort, Convenience & Opportunity. Tucked away on a quiet cul-de-sac in the heart of Bedford South, this thoughtfully updated home strikes the perfect balance between style and function. Nestled in a highly sought-after school district and just minutes from everyday amenities, it’s also within walking distance of DeWolf Park and Paper Mill Lake—ideal for those who enjoy an active lifestyle and peaceful surroundings. Step inside and discover a move-in-ready space filled with modern upgrades. The recently renovated kitchen, featuring new appliances, is both stylish and practical—perfect for cooking, gathering, and making memories. Just beyond, the generous walk-out deck extends your living space outdoors, providing an ideal setting for summer entertaining. The bright and spacious primary suite offers a true retreat, complete with a walk-in closet featuring custom built-ins and a private ensuite. Recent upgrades include an efficient ducted heat pump system for year-round comfort, panel upgrade, a brand-new front deck, fresh paint throughout, and a roof replacement in 2020. But the standout feature? A self-contained lower-level in-law suite with the addition of its own private entrance and newly added bathroom—offering incredible flexibility for multi-generational living, guests and more. Every detail in this home has been carefully considered to offer comfort, convenience, and opportunity.",2025-02-27,674900,2 Christie Court,Bedford,B4A 4C4,4,4,[],40671695,Single Family,Detached,2 Level,35 x 20 + bay,30,4,3 / 1,"1,415 sqft","2,068 sqft","3,008 sqft","3,008 sqft","$597,000 (2025)",Potential,Asphalt Shingle,"Brick, Vinyl",Poured Concrete,"Fully Developed, Walkout","Ceramic, Laminate, Hardwood","Heat Pump, Fireplace, Ductless Cooling",Yes,N/A,"Electric, Propane",Municipal,Municipal,"No, None","Paved, Double (double, paved)",No,N/A,"Air Exchanger, Secondary Suite, Ensuite Bath, Propane Fireplace","Cleared, Landscaped","Electrical, Cable, Telephone, High Speed Internet","Dishwasher, Dryer, Refrigerator, Stove, Washer",Appliances,N/A,Propane Tank,The Agency Real Estate Brokerage,No,N/A,No
Subdistrict A (Bedford),"Crownridge Drive, Bedford","70 Crownridge Drive, Bedford, NS (NOVA SCOTIA)",70 Crownridge Drive,https://www.viewpoint.ca/cutsheet/202503015/1/70-Crownridge-Drive,202503015,"Welcome to 70 Crownridge Drive, this absolutely magnificent 4 bed, 4 bath executive custom built home with double car garage is situated on a private cul de sac, in sought after,""Parks of West Bedford"". Every detail in this architectural masterpiece exudes quality, design excellence & elegance. The main level boasts beautiful living areas with N/G fireplace, impressive dining room, a gourmet kitchen w/ outstanding 10' island, side by side fridge/freezer & pantry. Oversized patio doors off the dining lead out to the expansive back deck with glass railing, composite decking & stairs to the lower tiered deck and beautiful fenced yard. A 2pc powder bath, mudroom with lockers & private den/office complete this level. Step upstairs to 3 very well appointed bedrooms, 2 (5pc) bath & the laundry room. The penthouse primary suite boasts tray ceilings, gorgeous large windows, 5pc spa like ensuite & walk in closet complete with dressing & get ready centre. The lower level is complete with a full walk out to the lower tiered deck...a gorgeous family/games room with fireplace finished with shiplap & stylish wet bar. The 4th bedroom, 4pc bath, playroom, den/office & utility/storage room finish this level. Notable features: natural gas fully ducted heat pump,  natural gas fireplace, gas stove, impeccable finishes, oversized windows, upgraded trim & millwork throughout, stunning hard surface counters, sublime lighting and so very much more...Close to schools, BMO centre, coffee shops, health food store, restaurant, parks, walking trails and more...This one of a kind custom home is truly a must see!",2025-02-17,1299900,70 Crownridge Drive,Bedford,B4B 0X4,4,4,[],41440496,Single Family,Detached,2 Level,37.5 x 49 +/-jogs,3,4,3 / 1,"2,637 sqft","3,735 sqft","6,233 sqft","6,233 sqft","$1,185,800 (2025)",N/A,Asphalt Shingle,"Stone, Wood Siding, Vinyl",Poured Concrete,"Fully Developed, Walkout","Laminate, Hardwood, Porcelain","Heat Pump, Ducted Cooling",Yes,N/A,"Natural Gas, Electric",Municipal,Municipal,"Yes, Double, Built-in (double/built in)","Exposed Aggregate, Double (double wide/exposed aggregate)",No,N/A,"Air Exchanger, Ensuite Bath, Fireplace(s), Electric Fireplace","Landscaped, Fenced","Electrical, Cable, Telephone, Natural Gas, High Speed Internet","Dishwasher, Dryer, Freezer - Stand Up, Range - Gas, Refrigerator, Washer","Fridge,Stove,Dishwasher,Washer,Dryer,Blinds,Bar fridge",Curtains,None,One Percent Realty East Inc.,Yes,N/A,No
Subdistrict A (Bedford),"Crownridge Drive, Bedford","90 Crownridge Drive, Bedford, NS (NOVA SCOTIA)",90 Crownridge Drive,https://www.viewpoint.ca/cutsheet/202508352/1/90-Crownridge-Drive,202508352,"Welcome to the Crownridge Jewel - a one-of-a-kind masterpiece where luxury, design, and innovation converge. Nestled at the end of a quiet cul-de-sac on the prestigious Crownridge Drive, this exceptional home offers ultimate privacy with stream views and direct access to scenic walking trails leading to a tranquil lake -  all within easy reach of city conveniences. A rare opportunity to own a property that blends nature with modern elegance. At the heart of the home is a designer kitchen featuring a full suite of Miele appliances, including a 48"" 6-burner gas range, steam oven, convection oven, warming drawer, plumbed-in coffee maker, double dishwashers, and a wine fridge. The quartz waterfall island serves as a central feature, complemented by a walk-in pantry and a custom wine wall, creating a striking focal point between the kitchen and living areas. Crafted for comfort and indulgence, retreat to your spa-inspired sanctuary, with heated floors, frameless glass sauna, hot tub, and dual rainfall showers. The hidden home theatre boasts a 106"" screen and a full wet bar. The primary suite offers dual boutique-style His & Hers walk-in closets, a built-in LG steamer, and a luxurious ensuite. Throughout the home, enjoy smart automation, a 9-zone Sonos system, Hunter Douglas motorized blinds, and two-zone VRV climate control. Architectural highlights include 10-ft ceilings, floating stairs, a custom maple slat wall, and a 10-ft granite gas fireplace. Step outside into your private resort: a 36' saltwater pool with a double waterfall, dedicated pool house, gas fire pit, BBQ, and backyard audio system - perfect for relaxation and entertainment. Wrapped in Genetek steel siding, the home features a 12-ft retaining wall and illuminated landscaping. This is more than a home - it's an exclusive sanctuary, offering a lifestyle that can't be replicated. An opportunity like this is one in a million. Ask your agent for the full features brochure and schedule your private tour today.",2025-04-21,2850000,90 Crownridge Drive,West Bedford,B4B 0X4,5,5,[],41440538,Single Family,Detached,3 Level,60 x 50,4,5,4 / 1,"6,467 sqft","6,467 sqft","12,764 sqft","12,764 sqft","$1,904,200 (2025)",No,Asphalt Shingle,"Steel, Brick",Poured Concrete,"Fully Developed, Walkout","Engineered Hardwood, Carpet","Heat Pump, Fireplace, In Floor, Ducted Cooling",Yes,Yes,Natural Gas,Municipal,Municipal,"Yes, Attached, Double, Heated (extra wide double car garage with epoxy flooring. wired and heated.)","Block, Double (2 cars fit on the driveway)",No,N/A,"Gas Stove(s), Air Exchanger, Alarm System, Ensuite Bath, Balcony, In-Ground Pool, Hot Tub, Fireplace(s), HRV (Heat Recovery Ventilation), Central Vac Roughed In","Cleared, Landscaped, Fenced","Electrical, Cable, Telephone, Natural Gas, High Speed Internet","Barbeque, Dishwasher, Dryer, Freezer, Garburator, Microwave Rng Hd Combo, Oven, Range - Gas, Refrigerator, Washer, Wine Fridge",N/A,N/A,None,Re/max Nova (halifax),Yes,N/A,No
