subdistrict_name,street_name,property_name,name,url,listing_id,description,date_posted,price,street_address,adress_locality,postal_code,rooms,bathrooms,listing_history,pid,type,style,building_style,building_dimensions,age,beds,bathrooms_f_h,main_living_area,total_living_area,listing_parcel_size,prov_parcel_size,assessed_at,rental_income,roof,exterior,foundation,basement,flooring,heating_cooling,fireplace,pool,fuel_supply,drinking_water,sewer,has_garage,parking,waterfront,water_access_view,property_features,land_features,utilities,appliances_incl,inclusions,exclusions,rental_equipment,listed_by,has_pcds,betterment_charges,bank_owned,pid_s
Subdistrict A (Bedford),"Amesbury Gate, Bedford","60 Amesbury Gate, Bedford, NS (NOVA SCOTIA)",60 Amesbury Gate,https://www.viewpoint.ca/cutsheet/202606327/1/60-Amesbury-Gate-Bedford,202606327,"Located in the sought-after Waterbury Park community of West Bedford, this thoughtfully designed home offers the perfect blend of style, space, and functionality.  The main level features a bright, open layout centred around a chef-inspired kitchen with full-size fridge and freezer, gas cooktop, wall oven, microwave, prep sink, pot filler, and walk-in pantry. The spacious dining area is ideal for hosting, while the living room offers a warm, inviting space to gather. A well-designed entryway with custom storage and built-in lockers keeps everyday life organized.  Upstairs, the primary suite is a true retreat with vaulted ceilings, statement beams, two walk-in closets (including direct access to the laundry room), and a spa-like ensuite with soaker tub and separate shower. Two additional bedrooms each feature walk-in closets and private 2-piece ensuites, plus a flexible office or optional fifth bedroom.  The fully finished lower level includes a separate side entrance, full kitchen, living area, two bedrooms, full bath, and its own laundry—ideal for extended family or potential rental income.  Step outside to a private backyard designed for summer living, complete with a covered deck, large sun deck, above-ground pool, hot tub, and fenced area for kids or pets. Enjoy direct access to a quiet section of Kearney Lake just behind the property.  Additional highlights include natural gas service, a double garage with 14’ ceilings, and quick access to Highway 102.",2026-04-04,1650000,60 Amesbury Gate,Bedford,B4B 0R4,7,6,[],41403270,Single Family,Detached,2 Level,47 x 42 +/- jogs,10,7,3 / 3,"2,981 sqft","4,176 sqft","10,548 sqft","10,549 sqft","$1,185,800 (2026)",Potential,Asphalt Shingle,"Stone, Vinyl",Poured Concrete,Fully Developed,"Tile, Hardwood","Heat Pump, Fireplace",N/A,Yes,"Natural Gas, Electric",Municipal,Municipal,"Yes, Double, Built-in, Heated, Wired (double, built in)","Concrete, Double (driveway, garage, or street)",No,"Access: Lake, View: Lake","Above Ground Pool, Central Vacuum, Ensuite Bath, Hot Tub, HRV (Heat Recovery Ventilation)","Cleared, Partial Landscaped","Electrical, Cable, Telephone, Natural Gas, High Speed Internet",N/A,N/A,fridges in garage,None,Exp Realty Of Canada Inc.,Yes,N/A,No,
Subdistrict A (Bedford),"Binnacle Court, Bedford","6 Binnacle Court, Bedford, NS (NOVA SCOTIA)",6 Binnacle Court,https://www.viewpoint.ca/cutsheet/202604996/1/6-Binnacle-Court-Bedford,202604996,"Welcome home to 6 Binnacle Court, a beautiful family home situated on a quiet cul-de-sac in the desirable Torrington subdivision of Paper Mill Lake. This family home offers ample space for growing or extended families with over 2400 sq ft of living space throughout. Granite counters, stainless steel appliances (2 yrs old), and natural light accent the eat-in kitchen, with a patio door leading out to the brand new deck. The top floor features a master suite and two additional generous bedrooms with renovated bathrooms. Additional updates include new hardwood and luxury vinyl plank in various locations and updated lighting throughout.  The fully finished basement includes a large family room, plus an additional bedroom, den, and bathroom, making it ideal for the growing or extended family. With excellent schools, walking distance to Papermill Lake Beach and Park, and proximity to the shops and amenities of Bedford, this is an opportunity that is sure to move quickly.",2026-03-20,649900,6 Binnacle Court,Bedford,B4A 4A3,4,4,[],40735615,Single Family,Detached,2 Level,32x28,28,4,3 / 1,"1,792 sqft","2,647 sqft","3,819 sqft","3,819 sqft","$610,400 (2026)",Potential,Asphalt Shingle,"Brick, Vinyl",Poured Concrete,Fully Developed,"Ceramic, Hardwood, Vinyl Plank","Baseboard, Heat Pump, Hot Water, Fireplace",Yes,N/A,"Electric, Oil, Propane",Municipal,Municipal,"No, None","Paved (paved driveway, 2 car)",No,N/A,"Air Exchanger, Ensuite Bath, See Remarks, Propane Fireplace, Central Vac Roughed In","Cleared, Landscaped","Electrical, Cable, Telephone, High Speed Internet","Dishwasher, Dryer, Range - Electric, Refrigerator, Washer","Fridge, stove, dishwasher, washer, dryer",N/A,None,Keller Williams Select Realty,Yes,N/A,No,
Subdistrict A (Bedford),"Bradford Place, Bedford","69 Bradford Place, Bedford, NS (NOVA SCOTIA)",69 Bradford Place,https://www.viewpoint.ca/cutsheet/202608357/1/69-Bradford-Place-Bedford,202608357,"Welcome to 69 Bradford Place in Waterberry Park. Located in the sought-after Parks of West Bedford, this stylish home offers the perfect blend of comfort and natural serenity, with the convenience of main-level living—featuring a spacious primary bedroom and laundry on the main floor.This beautifully designed two-level home offers 4 bedrooms, 3 bathrooms, and over 2,600 sq. ft. of living space—ideal for both everyday living and entertaining. The open-concept main level features a bright and inviting living area, a large primary suite complete with an ensuite and walk-in closet, and an additional bedroom perfect for guests or a home office. Downstairs you’ll find two more generously sized bedrooms, a full bathroom, and a large rec room with walkout access to a sunny, private backyard—complete with your very own above-ground pool. Surrounded by mature trees, it’s the perfect setting for summer entertaining. Enjoy outdoor living to the fullest with a beautiful patio featuring a motorized awning, a propane BBQ hookup, and a heat pump indoors for year-round comfort. Located just minutes from the brand-new P–12 school (offering both English and French programs), as well as parks, restaurants, pickleball courts, walking trails, and lakes—this home truly puts you at the center of it all, with easy access to Halifax, Sackville, Dartmouth, and beyond.",2026-04-23,949900,69 Bradford Place,Bedford,B4B 0R7,4,3,[],41405051,Single Family,Detached,Bungalow,47 x 42,10,4,3 / 0,"1,374 sqft","2,689 sqft","8,245 sqft","8,245 sqft","$901,700 (2026)",N/A,Asphalt Shingle,"Stone, Vinyl",Poured Concrete,"Fully Developed, Walkout","Ceramic, Laminate, Hardwood",Heat Pump,Yes,Yes,"Electric, Propane",Municipal,Municipal,"Yes, Built-in, 1.5 (built in)","Concrete, Double (room for 2 vehicles.)",No,N/A,"Above Ground Pool, Central Vacuum, Ensuite Bath, Balcony, Propane Fireplace, Walk-in Closet","Cleared, Level, Fenced","Electrical, Cable, High Speed Internet","Central Vacuum, Dishwasher, Dryer, Microwave, Refrigerator, Stove, Washer","Closet in basement bedroom, storage in garage",N/A,Propane Tank,Exit Real Estate Professionals,Yes,N/A,No,
Subdistrict A (Bedford),"Bradford Place, Bedford","90 Bradford Place, Bedford, NS (NOVA SCOTIA)",90 Bradford Place,https://www.viewpoint.ca/cutsheet/202605924/1/90-Bradford-Place-Bedford,202605924,"Welcome to this rare-find bungalow in West Bedford, only 4 years old and offering over 4,000 sq ft of high-end finished living space. A home where every upgrade is already done.($200,000 worth of upgrades) Featuring 10-foot ceilings throughout (including the basement), engineered hardwood floors, hardwood stairs with glass railings, and a bright open layout. The chef’s kitchen stands out with floor-to-ceiling two-tone cabinetry, quartz countertops, and a stunning double waterfall island, plus high-end LG smart appliances. This home offers 4 bedrooms and 5 bathrooms, including 3 ensuites, a mudroom, and convenient main floor laundry. The lower level includes a spacious media room with wet bar, a flexible office/gym with projector rough-in for an theatre room and plenty of storage. Enjoy year-round comfort with a natural gas ducted heat pump, gas fireplace, and gas BBQ hookup. Fully equipped as a smart home with Wi-Fi-enabled security,door lock, cameras, and more. Outside, you’ll find a double garage with 20+ ft ceilings, a wide aggregate driveway, and a full-width composite deck with glass railings and privacy wall, plus a large patio for entertaining. The landscaped backyard features mature fruit trees for a beautiful and functional under the deck concrete patio. Located in the sought-after West Bedford School and C.P. Allen district. A rare opportunity—come see it for yourself.",2026-03-31,1299000,90 Bradford Place,Bedford,B4B 0R6,4,5,[],41404849,Single Family,Detached,Bungalow,59x43 (+/-JOG),4,4,4 / 1,"2,208 sqft","4,228 sqft",N/A,"11,756 sqft","$1,147,000 (2026)",Potential,Asphalt Shingle,"Stone, Wood Siding, Brick, Aluminium Siding, Vinyl",Poured Concrete,"Full, Fully Developed","Engineered Hardwood, Ceramic, Laminate","Heat Pump, Ducted Cooling",Yes,N/A,"Natural Gas, Electric",Municipal,Municipal,"Yes, Attached, Double, Heated, Wired (22x20 double attached)",Exposed Aggregate (double wide/exposed aggregate),No,N/A,"Ensuite Bath, Fireplace(s)","Cleared, Landscaped","Electrical, Cable, Telephone, Natural Gas, High Speed Internet","Dishwasher, Dryer - Electric, Oven - Gas, Refrigerator, Stove - Gas, Washer",Smart Appliances (LG ThinQ Enabled) Refer to the features list under documents,N/A,None,Re/max Nova,No,N/A,No,
Subdistrict A (Bedford),"Forest Lane, Bedford","21 Forest Lane, Bedford, NS (NOVA SCOTIA)",21 Forest Lane,https://www.viewpoint.ca/cutsheet/202602246/1/21-Forest-Lane-Bedford,202602246,"Nestled on a quiet, upscale cul-de-sac, this immaculate four-bedroom, two-storey home with an attached garage is a true standout. The landscaping has been carefully curated, setting the stage for the incredible outdoor living space. A custom-built deck extends your living area, complete with a gazebo-covered hot tub and a dedicated dining zone—perfect for relaxing or entertaining.  Inside, the home offers a warm, refined atmosphere with timeless design and high-end craftsmanship throughout. The family room, dining area, and kitchen flow together in an inviting open-concept layout. The gourmet kitchen, crafted by Genuine Kitchens, features antique white Thermofoil cabinetry with walnut hardware, eye-catching granite countertops, and beautiful hardwood floors.  A spacious front foyer leads to a private home office—ideal for modern work-from-home lifestyles. A powder room and direct access to the deck complete the main level.  Upstairs are four generous bedrooms with excellent closet space. The primary suite includes a walk-in closet, a luxurious ensuite, and access to a private upper deck with a spiral staircase leading down to the hot tub and fire pit area.  The lower level adds even more living space, featuring a cozy media room, a two-piece bath, and an impressive redwood wine cellar for the true connoisseur.  Lovingly maintained with exceptional care and attention over the years, this home is truly move-in ready. All located within walking distance of Paper Mill Lake, beach access, schools, shops, and more. Your new home awaits!",2026-02-06,1175000,21 Forest Lane,Bedford,B4A 1H8,4,4,[],00418582,Single Family,Detached,2 Level,47x40-J,N/A,4,2 / 2,"3,035 sqft","3,465 sqft","12,600 sqft","12,600 sqft","$806,600 (2026)",N/A,Asphalt Shingle,N/A,Poured Concrete,Partially Developed,"Ceramic, Hardwood","Baseboard, Heat Pump, Ductless Cooling",N/A,N/A,"Electric, Propane",Municipal,Municipal,"Yes, Attached, Single (single attached)",N/A,No,N/A,N/A,N/A,"Electrical, Cable, Telephone, High Speed Internet",N/A,N/A,N/A,Propane Tank,Viewpoint Realty Services Inc.,No,N/A,No,
Subdistrict A (Bedford),"Innsbrook Way, Bedford","40 Innsbrook Way, Bedford, NS (NOVA SCOTIA)",40 Innsbrook Way,https://www.viewpoint.ca/cutsheet/202606972/1/40-Innsbrook-Way-Bedford,202606972,"Welcome to 40 Innsbrook Way in The Parks of West Bedford! This 6 year old, immaculate single family detached home is move-in ready and is located minutes from the new P-12 West Bedford School, arenas, tennis courts, bakeries, coffee shops and your favourite West Bedford amenities.  This home includes high end finishes from top to bottom. Some of it’s best features include: 40ft wide lot - giving a much wider main floor living room, hardwood flooring, beautiful natural gas fireplace, 9ft high ceilings on main and lower level, white & wood tone kitchen cabinets, walk-in pantry, stainless steel appliances, natural gas range & BBQ hook up (option for gas laundry too), white quartz countertops, large island, stairs off the back deck to level backyard, huge primary ensuite bathroom, large closets, statement lighting, lots of natural light, heat pumps for AC. This home is an entertainer’s dream with an open-concept main floor and convenient powder room. Upstairs, you’ll find 3 bedrooms, including the luxurious primary bedroom, with a large walk-in closet and a spa-like ensuite! Relax in the soaker bathtub or separate shower. A second full bathroom and laundry room are also conveniently located down the hall. The lower level offers a cozy rec room, a full bathroom and 4th bedroom or office space - whatever you prefer. Located on a family-friendly cul-de-sac, with a spacious backyard - you will love hanging out on the back deck!",2026-04-10,929900,40 Innsbrook Way,Bedford,B4B 0X6,4,4,[],41440777,Single Family,Detached,2 Level,28 x 45,6,4,3 / 1,"1,729 sqft","2,528 sqft","4,990 sqft","4,990 sqft","$853,800 (2026)",N/A,Asphalt Shingle,"Stone, Wood Siding, Vinyl",Poured Concrete,Fully Developed,"Tile, Carpet, Laminate, Hardwood","Baseboard, Heat Pump, Fireplace, Ductless Cooling",Yes,N/A,"Natural Gas, Electric",Municipal,Municipal,"Yes, Attached, Single, Wired (single heated attached)","Paved, Double (paved, double)",No,N/A,"Gas Stove(s), Air Exchanger, Ensuite Bath, Fireplace(s), HRV (Heat Recovery Ventilation), Walk-in Closet","Partially Fenced, Cleared, Landscaped, Level","Electrical, Telephone, Natural Gas, High Speed Internet","Dishwasher, Dryer, Range - Gas, Refrigerator, Washer",appliances,N/A,None,Re/max Nova (halifax),Yes,N/A,No,
Subdistrict A (Bedford),"Innsbrook Way, Bedford","66 Innsbrook Way, Bedford, NS (NOVA SCOTIA)",66 Innsbrook Way,https://www.viewpoint.ca/cutsheet/202605345/1/66-Innsbrook-Way-Bedford,202605345,"Welcome to 66 Innsbrook Way in the most sought-after the parks of West Bedford. Located in a quiet street with walking distance to West Bedford School. This home is designed with utmost attention to detail and fully loaded with many upgrades such as: oversize windows for bright rooms, tempered glass stair railing in foyer, fully ducted heat-pump with natural gas backup, oversized central island and a large walk-in pantry. Drive way upgraded to exposed aggregates, and a full width composite deck equipped with a natural gas BBQ port. Each level has a ceiling mounted WIFI booster, heated garage with EV charger rough in. The spa-like primary ensuite has been upgraded with in-floor heating, and the home is Energuide certified. This home is meticulously maintained by the owner, don’t miss the chance to own this rare found home.",2026-03-24,979000,66 Innsbrook Way,Bedford,B4B 0X6,4,4,[],41440835,Single Family,Detached,2 Level,28 x 45,6,4,3 / 1,"2,443 sqft","3,353 sqft","4,983 sqft","4,990 sqft","$962,700 (2026)",N/A,Asphalt Shingle,"Stone, Vinyl",Poured Concrete,Fully Developed,"Ceramic, Laminate, Hardwood","Heat Pump, In Floor",Yes,N/A,"Natural Gas, Electric",Municipal,Municipal,"Yes, Built-in, 1.5 (build-in 1.5 garage, with electric vehicle charging port)","Exposed Aggregate, Double",No,N/A,"Gas Stove(s), Air Exchanger, Alarm System, Ensuite Bath, Fireplace(s), HRV (Heat Recovery Ventilation)",N/A,"Electrical, Cable, Telephone, Natural Gas, High Speed Internet","Dishwasher, Dryer, Microwave, Range, Refrigerator, Washer",N/A,N/A,None,Exp Realty Of Canada Inc.,Yes,N/A,No,
Subdistrict A (Bedford),"James Winfield Lane, Bedford","32 James Winfield Lane, Bedford, NS (NOVA SCOTIA)",32 James Winfield Lane,https://www.viewpoint.ca/cutsheet/202607571/1/32-James-Winfield-Lane-Bedford,202607571,"Welcome to 32 James Winfield Lane, Bedford This beautifully maintained 4-bedroom, 4-bathroom detached home sits on a quiet street in one of Bedford's most convenient locations — just minutes from schools, shopping, Highway 102, and Paper Mill Lake. One of the larger homes on the street, it offers the space, privacy, and modern upgrades today's buyers are looking for. The main floor features a bright and generous living room with gas fireplace, updated kitchen, dining room with walkout to the back deck, a dedicated home office/den, and a powder room — perfect for busy family life or working from home. Upstairs, the spacious primary bedroom offers a walk-in closet and a private 4-piece ensuite, complemented by two additional large bedrooms and a full 4-piece main bath. The lower level is a standout feature of this home. With its own private walkout entrance, a fourth bedroom with 3-piece ensuite, a finished laundry room, utility room, and a large rec room, it offers exceptional flexibility — whether as an in-law suite, guest space, or an income-generating short-term rental that has already proven to be a strong revenue source for the current owners. Recent upgrades include a modern and fully paid ducted heat pump system serving the main and upper levels, a ductless split unit for the lower level, and the complete removal of the oil furnace — resulting in a significantly more energy-efficient home, as confirmed by a recent Efficiency Nova Scotia assessment. Smart thermostats with whole-home temperature control via smartphone and smart locks on both the front and rear entrances add everyday convenience, while a refreshed front yard enhances the home's curb appeal. Shingles replaced in 2017. A large driveway accommodating up to 3 vehicles, peaceful and private surroundings, and a welcoming neighborhood complete this exceptional package. Don't miss your opportunity to make this move-in ready Bedford home yours.",2026-04-16,693000,32 James Winfield Lane,Bedford,B4A 4C3,4,4,[],40671166,Single Family,Detached,2 Level,28.5 x 33,31,4,3 / 1,"1,729 sqft","2,556 sqft","3,485 sqft","3,485 sqft","$650,600 (2026)",Yes,Asphalt Shingle,Vinyl,Poured Concrete,"Full, Fully Developed","Ceramic, Carpet, Laminate, Hardwood, Vinyl","Forced Air, Heat Pump, Fireplace",Yes,N/A,"Electric, Propane",Municipal,Municipal,"No, None","Paved, Double",No,N/A,"Air Exchanger, Ensuite Bath, Propane Fireplace",Landscaped,"Electrical, Cable, Telephone, High Speed Internet","Central Vacuum, Dishwasher, Dryer, Microwave, Range, Refrigerator, Washer",N/A,N/A,Propane Tank,Re/max Nova (halifax),Yes,N/A,No,
Subdistrict A (Bedford),"Jon Jacques Court, Bedford","29 Jon Jacques Court, Bedford, NS (NOVA SCOTIA)",29 Jon Jacques Court,https://www.viewpoint.ca/cutsheet/202603979/1/29-Jon-Jacques-Court-Bedford,202603979,"Good Location in Bedford South, quiet cul-de-sac near Bedford schools at Paper-mill Lake Subdivision, few minutes drive from Larry Uteck, with convenient shopping like Sobeys and Atlantic Superstore etc. Large open floorplan, propane fireplace, hardwood floors, lots of cabinets in the kitchen which flows to deck with treed backyard and nature. Ductless heat pumps in living room & main bedroom for extra level of comfort year round. Rec room for the kids, good sized garage for storage or parking. Book your viewing today.",2026-03-06,549900,29 Jon Jacques Court,Bedford,B4A 4H1,3,2,[],40732059,Single Family,Semi-Detached,2 Level,21 x 34 + jog,26,3,1 / 1,"1,482 sqft","1,924 sqft","3,000 sqft","3,000 sqft","$586,200 (2026)",N/A,Asphalt Shingle,"Brick, Vinyl",Poured Concrete,Fully Developed,"Ceramic, Carpet, Laminate, Hardwood","Forced Air, Heat Pump, Fireplace",Yes,N/A,"Electric, Oil, Propane",Municipal,Municipal,"Yes, Single, Built-in (single, built-in)",Paved,No,N/A,"Air Exchanger, Propane Fireplace",Landscaped,"Electrical, Cable, Telephone, High Speed Internet","Dishwasher, Dryer, Refrigerator, Stove","Fridge, stove, dishwasher, washer, dryer,garage door opener... all in ""As Is"" condition",N/A,None,Royal Lepage Atlantic,No,N/A,No,
Subdistrict A (Bedford),"Oceanview Drive, Bedford","91 Oceanview Drive, Bedford, NS (NOVA SCOTIA)",91 Oceanview Drive,https://www.viewpoint.ca/cutsheet/202522689/1/91-Oceanview-Drive-Bedford,202522689,"Welcome to 91 Oceanview Drive in sought-after Bedford South! This beautiful 5-bedroom, 3.5-bath home offers the perfect balance of comfort, convenience, and community. You have quick access to grocery stores, restaurants, fitness centers, and top-rated schools, while also enjoying the peace and privacy of backing onto a greenbelt and being steps away from Oceanview and Nine Mile Drive Park. The main level features a bright large living space, dining area, lovely kitchen and a half washroom, direct access to the back deck and yard. Upstairs, the spacious primary bedroom includes a walk-in closet and a large ensuite bath, while two additional bedrooms and a full bath complete the upper level. The finished basement provides two additional rooms, full washroom and a laundry area. Excellent location that offers both nature and city convenience!",2025-09-08,589900,91 Oceanview Drive,Bedford,B4A 4H5,5,4,[],40671281,Single Family,Detached,2 Level,38 x 24,30,5,3 / 1,"1,588 sqft","2,372 sqft","3,454 sqft","3,454 sqft","$571,000 (2026)",N/A,Asphalt Shingle,"Brick, Vinyl",Poured Concrete,Fully Developed,"Engineered Hardwood, Tile, Laminate",Baseboard,N/A,N/A,"Electric, Oil",Municipal,Municipal,"No, None",Paved,No,N/A,Air Exchanger,Cleared,"Electrical, Cable, Telephone, High Speed Internet","Dishwasher, Dryer, Freezer - Chest, Refrigerator, Stove, Washer",N/A,N/A,None,Re/max Nova (windsor),Yes,N/A,No,
