subdistrict_name,street_name,property_name,name,url,listing_id,description,date_posted,price,street_address,adress_locality,postal_code,rooms,bathrooms,listing_history,pid,type,style,building_style,building_dimensions,age,beds,bathrooms_f_h,main_living_area,total_living_area,listing_parcel_size,prov_parcel_size,assessed_at,rental_income,roof,exterior,foundation,basement,flooring,heating_cooling,fireplace,pool,fuel_supply,drinking_water,sewer,has_garage,parking,waterfront,water_access_view,property_features,land_features,utilities,appliances_incl,inclusions,exclusions,rental_equipment,listed_by,has_pcds,betterment_charges,bank_owned
Subdistrict A (Bedford),"Acadia Mill Drive, Bedford","55 Acadia Mill Drive, Bedford, NS (NOVA SCOTIA)",55 Acadia Mill Drive,https://www.viewpoint.ca/cutsheet/202516766/1/55-Acadia-Mill-Drive,202516766,"An excellent family home in the heart of Moirs Mill, Bedford.  With numerous renovations and a ton of updates, this house is fully ready for its next family. The main floor features both a living room and a family room, a fully modernized kitchen and an actual dining room, which is somewhat of a unicorn these days. Upstairs, there are four large bedrooms, including a king size primary bedroom with three-piece ensuite, and a large walk-in closet. The main bath has been fully renovated.  Hardwood and high-end laminate flooring runs throughout the house. Downstairs there is a fifth bedroom (with egress window), large recreation room and a second kitchen and a three-piece bath, allowing the lower level to be used as a guest room or private suite with a private entry.  There are heat pumps at every level of the house, ensuring economy and year-round comfort. There is also an attached two car garage with two separate overhead doors. The garage is a true two-car size at 21 x 20 feet.  Outside you will see rebuilt decks at the side and rear, exposed aggregate front walkway, re-surfaced driveway plus custom rear deck furniture that is robust and not vulnerable to blowing around in a brisk wind. The rear yard is a passion project by the owners and is best described as a “kids paradise” … there are trees and hills and ground and grass, plus numerous play stations like swings and slides and poles and a small house in the trees ... and even a hammock between two trees.  All this play equipment remains. And to top it all off ... a brand new roof, (full sheeting & shingles) featuring a transferrable 10-year warranty.",2025-07-07,845000,55 Acadia Mill Drive,Bedford,B4A 3W2,5,4,[],40438343,Single Family,Detached,2 Level,33 x 33 + jogs,39,5,3 / 1,"2,175 sqft","3,185 sqft","11,130 sqft","11,130 sqft","$723,700 (2025)",N/A,Asphalt Shingle,"Brick, Vinyl",Poured Concrete,Fully Developed,"Engineered Hardwood, Tile, Laminate, Hardwood","Baseboard, Heat Pump",N/A,N/A,Electric,Municipal,Municipal,"Yes, Attached, Double, Heated, Wired (double, attached)","Paved, Double",No,N/A,"Air Exchanger, Secondary Suite, Ensuite Bath","Landscaped, Level","Electrical, Cable, Telephone, High Speed Internet","Dishwasher, Dryer, Microwave, Range - Electric, Refrigerator, Washer","2F, 2S, W&D, 2DW, 2MW, Front Entry & Rear Deck Seating, Playground Equipment.",N/A,None,Viewpoint Realty Services Inc.,Yes,N/A,No
Subdistrict A (Bedford),"Acadia Mill Drive, Bedford","248 Acadia Mill Drive, Bedford, NS (NOVA SCOTIA)",248 Acadia Mill Drive,https://www.viewpoint.ca/cutsheet/202516769/1/248-Acadia-Mill-Drive,202516769,"Welcome to your next family home in sought-after Papermill Lake neighbourhood!  Nestled in a quiet, family-friendly subdivision just steps from parks, scenic walking trails, and the beloved Papermill Lake, this spacious and beautifully maintained home is for both everyday living and entertaining.  The main floor also features a convenient home office, two piece powder room and a laundry/mudroom with access to the garage.  The lower level is a versatile space ideal for an in-law suite, guests or teens - complete with a spacious bedroom, full bath, large rec room, bar area and a walkout to the backyard.  Enjoy summer afternoons on the private rear patio surrounded by trees or take a short stroll to the beach at Papermill Lake, where you can swim, canoe, kayak, or skate in the winter.  Located close to top-rated schools, shopping, and all amenities - this home offers the best of Bedford living!",2025-07-07,938000,248 Acadia Mill Drive,Bedford,B4A 3Z4,5,4,[],40565970,Single Family,Detached,2 Level,47 x 27 + jogs,32,5,3 / 1,"2,585 sqft","3,585 sqft","11,526 sqft","11,526 sqft","$788,600 (2025)",Potential,Asphalt Shingle,"Brick, Vinyl",Poured Concrete,Fully Developed,"Ceramic, Carpet, Laminate","Baseboard, ETS (Elec Thermal Storage)",N/A,N/A,Electric,Municipal,Municipal,"Yes, Attached, Double, Wired (double. attached.)","Paved, Double (double. paved.)",No,N/A,"Ensuite Bath, See Remarks","Ravine, Stream/Pond, Wooded/Treed, Partial Landscaped","Electrical, Cable, Telephone, High Speed Internet, Other",N/A,N/A,Personal belongings,None,Verve Realty Group,Yes,N/A,No
Subdistrict A (Bedford),"Amesbury Gate, Bedford","27 Amesbury Gate, Bedford, NS (NOVA SCOTIA)",27 Amesbury Gate,https://www.viewpoint.ca/cutsheet/202521251/1/27-Amesbury-Gate,202521251,"Prepare to be captivated the moment you step into the light-filled grand foyer at 27 Amesbury Gate, where soaring 18-foot ceilings create a stunning first impression.  With its grand foyer, open-concept great room and designer kitchen, this home is sure to impress even the most discerning buyers. Offering over 3,500 sq. ft. of finished living space, this modern home includes 5 bedrooms and 4 bathrooms across three thoughtfully designed levels. The main floor features a breezy open-concept layout with 9-foot ceilings, a natural gas fireplace, and a wall of windows that flood the living area with natural light. The sleek kitchen is equipped with quartz countertops, a large centre island, and abundant storage, ideal for both family living and entertaining. Upstairs, the primary suite is a retreat with an oversized walk-in closet and spa-inspired ensuite complete with a soaker tub, walk-in shower, double vanity and custom finishes. The fully finished lower level adds an additional bedroom and bathroom, and a bright, oversized rec room with a wet bar, perfect for hosting guests. Additional highlights include an oversized double garage and a ducted heat pump for efficient year-round comfort. Located in the sought-after community of West Bedford, this property offers easy access to parks, trails, and top-rated schools just minutes from your doorstep. Welcome home!",2025-08-21,1049900,27 Amesbury Gate,West Bedford,B4B 0R5,5,4,[],41403361,Single Family,Detached,2 Level,37x37.4+jog,8,5,3 / 1,"2,699 sqft","3,641 sqft","6,561 sqft","6,562 sqft","$1,037,100 (2025)",N/A,Asphalt Shingle,"Stone, Vinyl",Poured Concrete,"Full, Fully Developed","Ceramic, Laminate, Hardwood","Heat Pump, Ducted Cooling",Yes,N/A,"Natural Gas, Electric",Municipal,Municipal,"Yes, Attached, Double (attached, double)",Exposed Aggregate,No,N/A,"Ensuite Bath, Fireplace(s), HRV (Heat Recovery Ventilation)","Landscaped, Partial Cleared","Electrical, Cable, High Speed Internet",N/A,N/A,N/A,None,Royal Lepage Atlantic,Yes,N/A,No
Subdistrict A (Bedford),"Amesbury Gate, Bedford","182 Amesbury Gate, Bedford, NS (NOVA SCOTIA)",182 Amesbury Gate,https://www.viewpoint.ca/cutsheet/202517833/1/182-Amesbury-Gate,202517833,"Beautifully designed single detached home located in the prestigious and rapidly growing West Bedford subdivision—one of Halifax’s most desirable and family-friendly communities. This spacious home offers 3,048 sq. ft. of well-appointed living space, combining modern design, functional layout, and energy-efficient features. From the moment you step into the generously sized foyer, you’ll be impressed by the natural light and the sense of openness created by the 18-foot ceiling in the living room. The main level features an open-concept layout with a seamless flow between the kitchen, dining area, and living space, ideal for family life and entertaining. A walk-in pantry adds extra storage, while the composite double deck at the rear provides a perfect spot for outdoor gatherings, overlooking a private, tree-lined backyard. Upstairs, you'll find a spacious primary bedroom complete with a walk-in closet ,an 5pc ensuite, along with two additional bedrooms and a full bathroom—perfect for families of all sizes. The fully finished walkout basement includes a recreation room, ideal for movie nights or game days, plus an extra bedroom and full bathroom, offering a private space for guests or extended family. Comfort is ensured year-round with an efficient natural gas boiler system and hot water baseboard heating, supplemented by a ductless heat pump on the main floor and a ducted heat pump system upstairs for optimal climate control. A newly installed solar system enhances the home's energy efficiency and sustainability, and will be paid off in full upon closing, making it a smart long-term investment for the future homeowner. Additional perks include a school bus stop conveniently located right in front of the house, adding unmatched ease for families with school-age children. Don’t miss the chance to own this exceptional home in one of Halifax’s top neighborhoods.",2025-07-16,1070000,182 Amesbury Gate,Bedford,B4B 0S7,4,4,[],41406752,Single Family,Detached,2 Level,35x41,8,4,3 / 1,"1,949 sqft","3,024 sqft","8,490 sqft","8,490 sqft","$887,500 (2025)",Potential,Asphalt Shingle,"Stone, Vinyl",Poured Concrete,"Fully Developed, Walkout","Tile, Laminate, Hardwood","Baseboard, Heat Pump, Hot Water",Yes,N/A,"Natural Gas, Solar, Electric",Municipal,Municipal,"Yes, Double, Built-in (double , built in)","Paved, Double (double , paved)",No,N/A,"Electric Fireplace, HRV (Heat Recovery Ventilation), Central Vac Roughed In","Partially Fenced, Cleared, Landscaped","Electrical, Cable, Telephone, Natural Gas, High Speed Internet","Dishwasher, Dryer - Electric, Range - Electric, Refrigerator, Washer",N/A,N/A,Other,Re/max Nova,Yes,N/A,No
Subdistrict A (Bedford),"Amesbury Gate, Bedford","192 Amesbury Gate, Bedford, NS (NOVA SCOTIA)",192 Amesbury Gate,https://www.viewpoint.ca/cutsheet/202515076/1/192-Amesbury-Gate,202515076,"There's a certain kind of home that instantly puts you at ease. The kind where light pours in, the energy feels right, and everything just flows. In a world that moves fast, coming home should feel like a reset. 192 Amesbury Gate does just that. From the moment you enter, this meticulously maintained home invites you to relax. The foyer is bright and welcoming, leading to the main living area which blends function and comfort with effortless style. A natural gas fireplace anchors the living room, while a high-efficiency, on-demand natural gas system with integrated hot-water baseboard heating and ductless heat pump ensures year round comfort. The kitchen is polished and practical with quartz countertops, a large centre island, and a walk-in pantry that keeps everything tucked away and tidy. The entire space exudes freshness and flows beautifully through patio doors to a backyard oasis that's been carefully curated for everyday enjoyment and effortless entertaining. Custom-built, multi-level decking leads to an above-ground pool, hot tub, and a green space that stretches well beyond the fence line. With a natural gas BBQ hookup, beautiful landscaping, and room to lounge and play, this backyard truly invites you to stay awhile. Upstairs, the home's layout is bright and breezy with 4 bedrooms, including a truly special owner's suite set behind double doors; a retreat in every sense - spacious, sunlit, with a walk-through closet and an ensuite thoughtfully designed for rest and restoration. Downstairs, the walkout basement is equally inviting, with a fantastic rec room, a flexible 5th bedroom, lots of storage, and another full bath. Located in sought-after West Bedford, minutes from the new school and every amenity, 192 Amesbury Gate is more than a home - it's peace of mind. Whether you're lounging by the pool, curled up by the fireplace, or simply sinking in to the effortless comfort of the space, this is a home that takes care of you. Come feel it for yourself.",2025-06-19,1099900,192 Amesbury Gate,Bedford,B4B 1H6,5,4,[],41406778,Single Family,Detached,2 Level,34 x 42,8,5,3 / 1,"2,296 sqft","3,329 sqft","8,922 sqft","8,922 sqft","$939,900 (2025)",N/A,Asphalt Shingle,"Stone, Wood Siding, Vinyl",Poured Concrete,"Full, Fully Developed, Walkout","Tile, Ceramic, Carpet, Laminate, Hardwood","Baseboard, Heat Pump, Hot Water, Ductless Cooling",Yes,Yes,Natural Gas,Municipal,Municipal,"Yes, Attached, 1.5 (attached, 1.5.)","Paved, Double (double, paved.)",No,N/A,"Air Exchanger, Above Ground Pool, Ensuite Bath, Hot Tub, Fireplace(s)","Cleared, Landscaped, Fenced","Electrical, Cable, Telephone, Natural Gas, High Speed Internet","Dishwasher, Dryer, Refrigerator, Stove, Washer",N/A,N/A,None,Parachute Realty,Yes,N/A,No
Subdistrict A (Bedford),"Amesbury Gate, Bedford","216 Amesbury Gate, Bedford, NS (NOVA SCOTIA)",216 Amesbury Gate,https://www.viewpoint.ca/cutsheet/202519864/1/216-Amesbury-Gate,202519864,"Welcome to 216 Amesbury Gate, an exceptionally rare opportunity to own the largest lot in West Bedford. Boasting over 3,500 square feet of beautifully finished living space and nestled on 1.4 acres of partially landscaped, treed land, this property offers the perfect blend of privacy, luxury, and natural charm. Step outside and enjoy your own private oasis, complete with a cleared walking path, lovely berry bushes, herbs and a variety of perennials, a bonus pond adjacent to the property—perfect for skating in the winter months. Inside, this stunning residence features 5 spacious bedrooms and 5 well-appointed bathrooms. The sun-drenched interior is highlighted by huge windows that fill the home with natural light. The main floor showcases a chef’s kitchen, a mudroom conveniently located off the garage, a walk-in pantry, and a cozy natural gas fireplace. From the kitchen, step out onto the large back deck—ideal for entertaining or relaxing in your peaceful surroundings. Upstairs, the luxurious primary suite offers a spa-like escape with a custom-designed walk-in closet, a spa-inspired ensuite bath, and a covered balcony to unwind with your morning coffee or evening reading spot. Each of the remaining three upstairs bedrooms includes access to its own ensuite bath—perfect for a growing family or visiting guests. The fully finished lower level features a bright and spacious rec room with walk-out access, a pool table, and a versatile bonus room that could be used as an office, additional bedroom, or home theatre. Additional highlights include solar panels for energy efficiency, a relaxing swim spa, and a double car garage that has been extended for extra space and functionality. Whether you're entertaining, raising a family, or simply enjoying the tranquility of nature, this home truly has it all. Opportunities like this are rare—don’t miss your chance to own this one-of-a-kind property in West Bedford.",2025-08-07,1199000,216 Amesbury Gate,Bedford,B4B 0S7,5,5,[],41406836,Single Family,Detached,2 Level,38x45,6,5,4 / 1,"2,528 sqft","3,589 sqft","60,043 sqft (1.4 acres)","60,043 sqft (1.4 acres)","$1,177,500 (2025)",Potential,Asphalt Shingle,N/A,Poured Concrete,Fully Developed,"Ceramic, Laminate, Hardwood","Baseboard, Heat Pump",Yes,N/A,"Natural Gas, Electric",Municipal,Municipal,"Yes, Attached, Double (extended double)",2 parking spaces in front of home. additional parking along the side if needed.,No,N/A,"Air Exchanger, Ensuite Bath, Balcony, Hot Tub, Fireplace(s)","Partially Fenced, Cleared, Landscaped, Level, Fenced, Stream/Pond, Wooded/Treed, Partial Cleared, Partial Landscaped","Electrical, Cable, Telephone, Natural Gas, High Speed Internet","Cooktop - Gas, Dishwasher, Dryer, Oven, Refrigerator, Washer",N/A,N/A,Other,Coldwell Banker Maritime Realty,Yes,N/A,No
Subdistrict A (Bedford),"Amesbury Gate, Bedford","283 Amesbury Gate, Bedford, NS (NOVA SCOTIA)",283 Amesbury Gate,https://www.viewpoint.ca/cutsheet/202522194/1/283-Amesbury-Gate,202522194,"Welcome to 283 Amesbury Gate located in the Parks of West Bedford. A sought after community with lots of amenities within walking distance including shops, restaurants and an express bus route to Downtown Halifax. The home has natural gas heating and a heat pump for A/C in warmer weather. This end unit townhouse boasts loads of natural light; the main floor has a spacious living area with 9ft ceilings and huge, bright windows. The cleaning looking kitchen has stone countertops and a walk in pantry as well as doors that lead out to a sunny deck and fenced in yard. Upstairs there are 3 Bedrooms including the Primary, ensuite and walk in closet. The lower level is suitable for an office or family room.",2025-09-01,659000,283 Amesbury Gate,Bedford,B4B 0R8,3,4,[],41429747,Single Family,Townhouse,2 Level,22x36,9,3,2 / 2,"1,620 sqft","2,210 sqft","4,180 sqft","4,179 sqft","$642,200 (2025)",N/A,Asphalt Shingle,"Stone, Wood Siding, Brick",Poured Concrete,Fully Developed,"Tile, Ceramic, Laminate, Hardwood",Heat Pump,N/A,N/A,"Natural Gas, Electric",Municipal,Municipal,"Yes, Attached, Single (single, attached)",Paved (double driveway shared),No,N/A,HRV (Heat Recovery Ventilation),"Landscaped, Level, Fenced","Electrical, Cable, Telephone, Natural Gas, High Speed Internet","Dishwasher, Microwave, Refrigerator, Stove","Fridge, stove, dishwasher, microwave Rangehood",N/A,None,Exit Realty Metro,No,N/A,No
Subdistrict A (Bedford),"Bradford Place, Bedford","20 Bradford Place, Bedford, NS (NOVA SCOTIA)",20 Bradford Place,https://www.viewpoint.ca/cutsheet/202518780/1/20-Bradford-Place,202518780,"Tucked away on a quiet street in the sought-after Parks of West Bedford, this stylish and thoughtfully designed home offers the perfect blend of urban convenience and natural serenity. This custom-designed home was built with comfort and functionality in mind.  Inside, you'll be welcomed by a spacious foyer leading into a bright and expansive great room — perfect for entertaining. The kitchen is beautifully appointed and features a coffee station nook and walk-in pantry, while the convenient main-floor laundry room makes daily living a breeze. The serene primary suite boasts large windows, a generous walk-in closet, and a luxurious 5-piece ensuite with double sinks, a glass walk-in shower, and a soaker tub. A second bedroom on the main level offers flexibility as a guest room, office, or den.  Downstairs, the walk-out lower level offers even more space to unwind or entertain, with a large rec room that leads to a private hot tub area. This level also includes two additional bedrooms, a full bath, a media/exercise room, and a utility/storage room.  Whether you're hosting friends, working from home, or simply relaxing after a day outdoors, 20 Bradford Place is a place you’ll be proud to call home.  Located just off Larry Uteck Boulevard, you’ll love being minutes from highway access, top-rated schools, grocery stores, pharmacies, restaurants, cafés, and professional services — all while being steps from the lake where you can launch your kayak and enjoy a peaceful paddle.",2025-07-25,969900,20 Bradford Place,Bedford,B4B 0R6,4,4,[],41404716,Single Family,Detached,Bungalow,54x36-J,5,4,3 / 1,"1,575 sqft","3,150 sqft","9,037 sqft","9,037 sqft","$924,600 (2025)",N/A,Asphalt Shingle,"Wood Siding, Brick, Vinyl",Poured Concrete,"Full, Fully Developed, Walkout","Ceramic, Laminate, Hardwood","Baseboard, Heat Pump",Yes,N/A,"Natural Gas, Electric",Municipal,Municipal,"Yes, Double, Built-in (double, built in)",driveway,No,N/A,"Ensuite Bath, Hot Tub, Fireplace(s)","Cleared, Landscaped","Electrical, Cable, Natural Gas, High Speed Internet","Dishwasher, Dryer, Refrigerator, Stove, Washer","Fridge, stove, washer, dryer, dishwasher",N/A,None,Re/max Nova (halifax),Yes,N/A,No
Subdistrict A (Bedford),"Crownridge Drive, Bedford","43 Crownridge Drive, Bedford, NS (NOVA SCOTIA)",43 Crownridge Drive,https://www.viewpoint.ca/cutsheet/202514528/1/43-Crownridge-Drive,202514528,"Nestled in the prestigious parks of West Bedford this exceptional home is situated on a private cul-de-sac and boasts a south facing backyard that opens directly on to a lush forested greenbelt with a natural stream and scenic walking and running trails. Enjoy the peace and privacy of a family friendly street, the highly sought after Crown Ridge Drive. This expansive home offers over 4100 ft² of refined living space, including five generously sized bedrooms and 3 1/2 bathrooms, a fully finished walkout basement and a double built in garage.The thoughtful layout is complemented by oversized windows, abundant storage and high end finishes throughout. Hunter Douglas blinds, fully ducted heating and cooling, air exchanger, a radon control system, natural gas stove, range, dryer, and water heater. The natural gas also conveniently heats the salt water pool. You also find tucked beneath your weather projected upper deck your seven seater arctic spa hot tub. The fully fenced and landscaped yard offers direct greenbelt access through gates, perfect for active families and nature lovers. Whether you are preparing a meal in your chef's kitchen, relaxing in your spa like en-suite retreat, prepping for a night out in your walk in ensuite closet or enjoying a night in in your basement complete with built-in bar, projector, pool table and direct access to the backyard, you'll be sure to find ways to take in all the pleasures of 43 Crownridge Dr. This one of a kind property is also within walking distance to Bedford's newest school offering both luxury and convenience for families alike. Don't miss your chance to live on the greenbelt side of one of the most coveted cul-de-sacs in West Bedford!",2025-06-12,1399000,43 Crownridge Drive,Bedford,B4B 0X4,5,4,[],41440637,Single Family,Detached,"2 Level, 3 Level",49x40 + jog,7,5,3 / 1,"2,807 sqft","4,108 sqft","6,237 sqft","6,234 sqft","$1,229,900 (2025)",Potential,Asphalt Shingle,"Stone, Vinyl",Poured Concrete,Fully Developed,"Ceramic, Laminate, Hardwood","Heat Pump, Fireplace, Ducted Cooling",Yes,Yes,"Natural Gas, Electric",Municipal,Municipal,"Yes, Double, Built-in, Heated, Wired (double, built-in, heated)","Exposed Aggregate, Double",No,N/A,"Gas Stove(s), In-Ground Pool, Hot Tub, Fireplace(s), HRV (Heat Recovery Ventilation)","Landscaped, Fenced","Electrical, Cable, Telephone, Natural Gas, High Speed Internet","Dishwasher, Dryer, Microwave, Range - Gas, Refrigerator, Washer",N/A,N/A,None,Keller Williams Select Realty,Yes,N/A,No
Subdistrict A (Bedford),"Crownridge Drive, Bedford","49 Crownridge Drive, Bedford, NS (NOVA SCOTIA)",49 Crownridge Drive,https://www.viewpoint.ca/cutsheet/202513284/1/49-Crownridge-Drive,202513284,"Inviting spaces abound with the perfect blend of modern upscale finishes & welcoming spaces to host family & friends both inside and out! The ""tall wall"" of expansive windows add character & immerse your space with light while overlooking your resort like back yard complete with in-ground salt water pool with waterfall, surrounded by sensational stone patio, hot tub, gas fireplace, gracious lawn area and backing to a lush greenbelt area providing immense privacy...yes your personal resort oasis awaits! Elegantly dressed with stone from floor to ceiling, the gas fireplace is surrounded by timeless chic black & white decor creating an elegant open concept space complete with custom wine display & storage that is sure to please! Expansive kitchen with fabulous island, gorgeous quartz counters, massive amounts of storage in both cabinets & the generous walk-in pantry, high quality stainless appliances & bar/serving station that conveniently adjoins into your dining space. Perfect for home theatre, taking in sports events or quiet nights snuggled in for your fav Netflix binge watching, the lower level great room space has it all! This level also offers an additional bedroom & full bath, gym space, storage & utilities. Perfectly positioned on the upper level, the opulent private primary suite is welcoming as it overlooks the back yard & boasts upscale en-suite bath with soaker tub & huge shower, double vanity & separate water closet...and a custom closet reminiscent of a fine Paris boutique with extensive storage!!! Spacious secondary bedrooms, upper level laundry, fabulous baths on each level, meticulously cared for throughout and presented with pride, this upscale property awaits the most discerning buyer and is perfectly timed to ensure you enjoy all the days of summer ahead as it is completely move-in ready for you! and BTW...it is perfectly located in the sought after ""Parks of West Bedford""  Don't miss your opportunity...this one is truly special!",2025-06-03,1598800,49 Crownridge Drive,West Bedford,B4B 0X4,5,4,[],41440629,Single Family,Detached,2 Level,39.8 x 55 (+/- jogs),6,5,3 / 1,"3,402 sqft","4,679 sqft","6,231 sqft","6,233 sqft","$1,270,200 (2025)",N/A,Asphalt Shingle,"Stone, Vinyl",Poured Concrete,Fully Developed,"Engineered Hardwood, Porcelain",Heat Pump,Yes,Yes,Natural Gas,Municipal,Municipal,"Yes, Attached, Heated (atttached, double, heated)",Double (double drive),No,N/A,"Alarm System, Ensuite Bath, In-Ground Pool, Hot Tub, Fireplace(s), HRV (Heat Recovery Ventilation)","Partially Fenced, Landscaped","Electrical, Telephone, Natural Gas, High Speed Internet",N/A,N/A,N/A,None,Keller Williams Select Realty,Yes,N/A,No
